financial_year,sending_location,age_group,stay_type,nclient,nclient_scotland,rate_per_1000,scotland_rate,,
2018/19,Renfrewshire,18-64 years,All Stays,130,5620,1.2,1.7,,
2018/19,Renfrewshire,18-64 years,Short Stay / Respite,5,1410,0,0.4,,
2018/19,Renfrewshire,18-64 years,Long Stay,125,4210,1.1,1.2,,
2018/19,Renfrewshire,65+ years,All Stays,1485,45980,44.6,44.8,,
2018/19,Renfrewshire,65+ years,Short Stay / Respite,55,4345,1.7,4.2,,
2018/19,Renfrewshire,65+ years,Long Stay,1430,41635,43,40.6,,
2018/19,Scottish Borders,18+ years,All Stays,1005,51605,10.7,11.7,,
2018/19,Scottish Borders,18+ years,Short Stay / Respite,25,5760,0.3,1.3,,
2018/19,Scottish Borders,18+ years,Long Stay,980,45845,10.4,10.4,,
2018/19,Scottish Borders,18-64 years,All Stays,40,5620,0.6,1.7,,
2018/19,Scottish Borders,18-64 years,Short Stay / Respite,0,1410,0,0.4,,
2018/19,Scottish Borders,18-64 years,Long Stay,40,4210,0.6,1.2,,
2018/19,Scottish Borders,65+ years,All Stays,965,45980,34.3,44.8,,
2018/19,Scottish Borders,65+ years,Short Stay / Respite,25,4345,0.9,4.2,,
2018/19,Scottish Borders,65+ years,Long Stay,940,41635,33.4,40.6,,
2018/19,Shetland Islands,18+ years,All Stays,290,51605,15.8,11.7,,
2018/19,Shetland Islands,18+ years,Short Stay / Respite,100,5760,5.5,1.3,,
2018/19,Shetland Islands,18+ years,Long Stay,195,45845,10.7,10.4,,
2018/19,Shetland Islands,18-64 years,All Stays,20,5620,1.5,1.7,,
2018/19,Shetland Islands,18-64 years,Short Stay / Respite,10,1410,0.7,0.4,,
2018/19,Shetland Islands,18-64 years,Long Stay,10,4210,0.7,1.2,,
2018/19,Shetland Islands,65+ years,All Stays,275,45980,60.4,44.8,,
2018/19,Shetland Islands,65+ years,Short Stay / Respite,90,4345,19.8,4.2,,
2018/19,Shetland Islands,65+ years,Long Stay,180,41635,39.5,40.6,,
2018/19,South Ayrshire,18+ years,All Stays,1545,51605,16.7,11.7,,
2018/19,South Ayrshire,18+ years,Short Stay / Respite,240,5760,2.6,1.3,,
2018/19,South Ayrshire,18+ years,Long Stay,1305,45845,14.1,10.4,,
2018/19,South Ayrshire,18-64 years,All Stays,135,5620,2.1,1.7,,
2018/19,South Ayrshire,18-64 years,Short Stay / Respite,60,1410,0.9,0.4,,
2018/19,South Ayrshire,18-64 years,Long Stay,75,4210,1.2,1.2,,
2018/19,South Ayrshire,65+ years,All Stays,1410,45980,50,44.8,,
2018/19,South Ayrshire,65+ years,Short Stay / Respite,180,4345,6.4,4.2,,
2018/19,South Ayrshire,65+ years,Long Stay,1230,41635,43.6,40.6,,
2018/19,South Lanarkshire,18+ years,All Stays,2695,51605,10.5,11.7,,
2018/19,South Lanarkshire,18+ years,Short Stay / Respite,55,5760,0.2,1.3,,
2018/19,South Lanarkshire,18+ years,Long Stay,2640,45845,10.3,10.4,,
2018/19,South Lanarkshire,18-64 years,All Stays,260,5620,1.3,1.7,,
2018/19,South Lanarkshire,18-64 years,Short Stay / Respite,5,1410,0,0.4,,
2018/19,South Lanarkshire,18-64 years,Long Stay,255,4210,1.3,1.2,,
2018/19,South Lanarkshire,65+ years,All Stays,2435,45980,39.7,44.8,,
2018/19,South Lanarkshire,65+ years,Short Stay / Respite,50,4345,0.8,4.2,,
2018/19,South Lanarkshire,65+ years,Long Stay,2385,41635,38.9,40.6,,
2018/19,Stirling,18+ years,All Stays,905,51605,11.8,11.7,,
2018/19,Stirling,18+ years,Short Stay / Respite,135,5760,1.8,1.3,,
2018/19,Stirling,18+ years,Long Stay,770,45845,10,10.4,,
2018/19,Stirling,18-64 years,All Stays,115,5620,2,1.7,,
2018/19,Stirling,18-64 years,Short Stay / Respite,20,1410,0.3,0.4,,
2018/19,Stirling,18-64 years,Long Stay,95,4210,1.6,1.2,,
2018/19,Stirling,65+ years,All Stays,790,45980,43.9,44.8,,
2018/19,Stirling,65+ years,Short Stay / Respite,115,4345,6.4,4.2,,
2018/19,Stirling,65+ years,Long Stay,675,41635,37.5,40.6,,
2018/19,West Dunbartonshire,18+ years,All Stays,875,51605,12.2,11.7,,
2018/19,West Dunbartonshire,18+ years,Short Stay / Respite,25,5760,0.3,1.3,,
