time_period,financial_quarter,sending_location,age_group,level_of_service,hours_order,nclient,percentage
Financial Quarter,2018/19 Q4,South Ayrshire,Unknown,0 - <2 hours,1,0,NA
Financial Quarter,2018/19 Q4,South Ayrshire,Unknown,2 - <4 hours,2,0,NA
Financial Quarter,2018/19 Q4,South Ayrshire,Unknown,4 - <10 hours,3,0,NA
Financial Quarter,2018/19 Q4,South Ayrshire,Unknown,10+ hours,4,0,NA
Financial Quarter,2018/19 Q4,South Ayrshire,Unknown,Unknown,5,0,NA
Financial Quarter,2019/20 Q1,South Ayrshire,All Ages,0 - <2 hours,1,145,8
Financial Quarter,2019/20 Q1,South Ayrshire,All Ages,2 - <4 hours,2,275,15.1
Financial Quarter,2019/20 Q1,South Ayrshire,All Ages,4 - <10 hours,3,595,32.7
Financial Quarter,2019/20 Q1,South Ayrshire,All Ages,10+ hours,4,805,44.2
Financial Quarter,2019/20 Q1,South Ayrshire,All Ages,Unknown,5,0,0
Financial Quarter,2019/20 Q1,South Ayrshire,0-17 years,0 - <2 hours,1,0,NA
Financial Quarter,2019/20 Q1,South Ayrshire,0-17 years,2 - <4 hours,2,0,NA
Financial Quarter,2019/20 Q1,South Ayrshire,0-17 years,4 - <10 hours,3,0,NA
Financial Quarter,2019/20 Q1,South Ayrshire,0-17 years,10+ hours,4,0,NA
Financial Quarter,2019/20 Q1,South Ayrshire,0-17 years,Unknown,5,0,NA
Financial Quarter,2019/20 Q1,South Ayrshire,18-64 years,0 - <2 hours,1,25,5.6
Financial Quarter,2019/20 Q1,South Ayrshire,18-64 years,2 - <4 hours,2,50,11.1
Financial Quarter,2019/20 Q1,South Ayrshire,18-64 years,4 - <10 hours,3,120,26.7
Financial Quarter,2019/20 Q1,South Ayrshire,18-64 years,10+ hours,4,255,56.7
Financial Quarter,2019/20 Q1,South Ayrshire,18-64 years,Unknown,5,0,0
Financial Quarter,2019/20 Q1,South Ayrshire,65-74 years,0 - <2 hours,1,15,5.9
Financial Quarter,2019/20 Q1,South Ayrshire,65-74 years,2 - <4 hours,2,45,17.6
Financial Quarter,2019/20 Q1,South Ayrshire,65-74 years,4 - <10 hours,3,75,29.4
Financial Quarter,2019/20 Q1,South Ayrshire,65-74 years,10+ hours,4,120,47.1
Financial Quarter,2019/20 Q1,South Ayrshire,65-74 years,Unknown,5,0,0
Financial Quarter,2019/20 Q1,South Ayrshire,75-84 years,0 - <2 hours,1,50,10
Financial Quarter,2019/20 Q1,South Ayrshire,75-84 years,2 - <4 hours,2,85,17
Financial Quarter,2019/20 Q1,South Ayrshire,75-84 years,4 - <10 hours,3,180,36
Financial Quarter,2019/20 Q1,South Ayrshire,75-84 years,10+ hours,4,185,37
Financial Quarter,2019/20 Q1,South Ayrshire,75-84 years,Unknown,5,0,0
Financial Quarter,2019/20 Q1,South Ayrshire,85+ years,0 - <2 hours,1,50,8.2
Financial Quarter,2019/20 Q1,South Ayrshire,85+ years,2 - <4 hours,2,95,15.6
Financial Quarter,2019/20 Q1,South Ayrshire,85+ years,4 - <10 hours,3,220,36.1
Financial Quarter,2019/20 Q1,South Ayrshire,85+ years,10+ hours,4,245,40.2
Financial Quarter,2019/20 Q1,South Ayrshire,85+ years,Unknown,5,0,0
Financial Quarter,2019/20 Q1,South Ayrshire,Unknown,0 - <2 hours,1,0,NA
Financial Quarter,2019/20 Q1,South Ayrshire,Unknown,2 - <4 hours,2,0,NA
Financial Quarter,2019/20 Q1,South Ayrshire,Unknown,4 - <10 hours,3,0,NA
Financial Quarter,2019/20 Q1,South Ayrshire,Unknown,10+ hours,4,0,NA
Financial Quarter,2019/20 Q1,South Ayrshire,Unknown,Unknown,5,0,NA
Financial Quarter,2019/20 Q2,South Ayrshire,All Ages,0 - <2 hours,1,145,8.3
Financial Quarter,2019/20 Q2,South Ayrshire,All Ages,2 - <4 hours,2,255,14.5
Financial Quarter,2019/20 Q2,South Ayrshire,All Ages,4 - <10 hours,3,615,35
Financial Quarter,2019/20 Q2,South Ayrshire,All Ages,10+ hours,4,740,42.2
Financial Quarter,2019/20 Q2,South Ayrshire,All Ages,Unknown,5,0,0
Financial Quarter,2019/20 Q2,South Ayrshire,0-17 years,0 - <2 hours,1,0,NA
Financial Quarter,2019/20 Q2,South Ayrshire,0-17 years,2 - <4 hours,2,0,NA
Financial Quarter,2019/20 Q2,South Ayrshire,0-17 years,4 - <10 hours,3,0,NA
Financial Quarter,2019/20 Q2,South Ayrshire,0-17 years,10+ hours,4,0,NA
Financial Quarter,2019/20 Q2,South Ayrshire,0-17 years,Unknown,5,0,NA
Financial Quarter,2019/20 Q2,South Ayrshire,18-64 years,0 - <2 hours,1,40,9.1
Financial Quarter,2019/20 Q2,South Ayrshire,18-64 years,2 - <4 hours,2,35,8
Financial Quarter,2019/20 Q2,South Ayrshire,18-64 years,4 - <10 hours,3,125,28.4
Financial Quarter,2019/20 Q2,South Ayrshire,18-64 years,10+ hours,4,240,54.5
Financial Quarter,2019/20 Q2,South Ayrshire,18-64 years,Unknown,5,0,0
Financial Quarter,2019/20 Q2,South Ayrshire,65-74 years,0 - <2 hours,1,15,6
Financial Quarter,2019/20 Q2,South Ayrshire,65-74 years,2 - <4 hours,2,45,18
Financial Quarter,2019/20 Q2,South Ayrshire,65-74 years,4 - <10 hours,3,80,32
Financial Quarter,2019/20 Q2,South Ayrshire,65-74 years,10+ hours,4,110,44
Financial Quarter,2019/20 Q2,South Ayrshire,65-74 years,Unknown,5,0,0
Financial Quarter,2019/20 Q2,South Ayrshire,75-84 years,0 - <2 hours,1,50,10.2
Financial Quarter,2019/20 Q2,South Ayrshire,75-84 years,2 - <4 hours,2,80,16.3
Financial Quarter,2019/20 Q2,South Ayrshire,75-84 years,4 - <10 hours,3,185,37.8
Financial Quarter,2019/20 Q2,South Ayrshire,75-84 years,10+ hours,4,175,35.7
Financial Quarter,2019/20 Q2,South Ayrshire,75-84 years,Unknown,5,0,0
Financial Quarter,2019/20 Q2,South Ayrshire,85+ years,0 - <2 hours,1,40,7
Financial Quarter,2019/20 Q2,South Ayrshire,85+ years,2 - <4 hours,2,90,15.8
Financial Quarter,2019/20 Q2,South Ayrshire,85+ years,4 - <10 hours,3,225,39.5
Financial Quarter,2019/20 Q2,South Ayrshire,85+ years,10+ hours,4,215,37.7
Financial Quarter,2019/20 Q2,South Ayrshire,85+ years,Unknown,5,0,0
Financial Quarter,2019/20 Q2,South Ayrshire,Unknown,0 - <2 hours,1,0,NA
Financial Quarter,2019/20 Q2,South Ayrshire,Unknown,2 - <4 hours,2,0,NA
Financial Quarter,2019/20 Q2,South Ayrshire,Unknown,4 - <10 hours,3,0,NA
Financial Quarter,2019/20 Q2,South Ayrshire,Unknown,10+ hours,4,0,NA
Financial Quarter,2019/20 Q2,South Ayrshire,Unknown,Unknown,5,0,NA
Financial Quarter,2019/20 Q3,South Ayrshire,All Ages,0 - <2 hours,1,130,7.5
Financial Quarter,2019/20 Q3,South Ayrshire,All Ages,2 - <4 hours,2,265,15.3
Financial Quarter,2019/20 Q3,South Ayrshire,All Ages,4 - <10 hours,3,595,34.3
Financial Quarter,2019/20 Q3,South Ayrshire,All Ages,10+ hours,4,745,42.9
Financial Quarter,2019/20 Q3,South Ayrshire,All Ages,Unknown,5,0,0
Financial Quarter,2019/20 Q3,South Ayrshire,0-17 years,0 - <2 hours,1,0,NA
Financial Quarter,2019/20 Q3,South Ayrshire,0-17 years,2 - <4 hours,2,0,NA
Financial Quarter,2019/20 Q3,South Ayrshire,0-17 years,4 - <10 hours,3,0,NA
Financial Quarter,2019/20 Q3,South Ayrshire,0-17 years,10+ hours,4,0,NA
Financial Quarter,2019/20 Q3,South Ayrshire,0-17 years,Unknown,5,0,NA
Financial Quarter,2019/20 Q3,South Ayrshire,18-64 years,0 - <2 hours,1,30,7.1
Financial Quarter,2019/20 Q3,South Ayrshire,18-64 years,2 - <4 hours,2,40,9.4
Financial Quarter,2019/20 Q3,South Ayrshire,18-64 years,4 - <10 hours,3,120,28.2
Financial Quarter,2019/20 Q3,South Ayrshire,18-64 years,10+ hours,4,235,55.3
Financial Quarter,2019/20 Q3,South Ayrshire,18-64 years,Unknown,5,0,0
Financial Quarter,2019/20 Q3,South Ayrshire,65-74 years,0 - <2 hours,1,15,5.8
Financial Quarter,2019/20 Q3,South Ayrshire,65-74 years,2 - <4 hours,2,45,17.3
Financial Quarter,2019/20 Q3,South Ayrshire,65-74 years,4 - <10 hours,3,85,32.7
Financial Quarter,2019/20 Q3,South Ayrshire,65-74 years,10+ hours,4,115,44.2
Financial Quarter,2019/20 Q3,South Ayrshire,65-74 years,Unknown,5,0,0
Financial Quarter,2019/20 Q3,South Ayrshire,75-84 years,0 - <2 hours,1,50,9.8
Financial Quarter,2019/20 Q3,South Ayrshire,75-84 years,2 - <4 hours,2,85,16.7
Financial Quarter,2019/20 Q3,South Ayrshire,75-84 years,4 - <10 hours,3,190,37.3
Financial Quarter,2019/20 Q3,South Ayrshire,75-84 years,10+ hours,4,185,36.3
Financial Quarter,2019/20 Q3,South Ayrshire,75-84 years,Unknown,5,0,0
Financial Quarter,2019/20 Q3,South Ayrshire,85+ years,0 - <2 hours,1,35,6.5
Financial Quarter,2019/20 Q3,South Ayrshire,85+ years,2 - <4 hours,2,95,17.6
Financial Quarter,2019/20 Q3,South Ayrshire,85+ years,4 - <10 hours,3,200,37
Financial Quarter,2019/20 Q3,South Ayrshire,85+ years,10+ hours,4,210,38.9
Financial Quarter,2019/20 Q3,South Ayrshire,85+ years,Unknown,5,0,0
Financial Quarter,2019/20 Q3,South Ayrshire,Unknown,0 - <2 hours,1,0,NA
Financial Quarter,2019/20 Q3,South Ayrshire,Unknown,2 - <4 hours,2,0,NA
Financial Quarter,2019/20 Q3,South Ayrshire,Unknown,4 - <10 hours,3,0,NA
Financial Quarter,2019/20 Q3,South Ayrshire,Unknown,10+ hours,4,0,NA
Financial Quarter,2019/20 Q3,South Ayrshire,Unknown,Unknown,5,0,NA
Financial Quarter,2019/20 Q4,South Ayrshire,All Ages,0 - <2 hours,1,120,6.7
Financial Quarter,2019/20 Q4,South Ayrshire,All Ages,2 - <4 hours,2,285,15.8
Financial Quarter,2019/20 Q4,South Ayrshire,All Ages,4 - <10 hours,3,620,34.4
Financial Quarter,2019/20 Q4,South Ayrshire,All Ages,10+ hours,4,775,43.1
Financial Quarter,2019/20 Q4,South Ayrshire,All Ages,Unknown,5,0,0
Financial Quarter,2019/20 Q4,South Ayrshire,0-17 years,0 - <2 hours,1,0,NA
Financial Quarter,2019/20 Q4,South Ayrshire,0-17 years,2 - <4 hours,2,0,NA
Financial Quarter,2019/20 Q4,South Ayrshire,0-17 years,4 - <10 hours,3,0,NA
Financial Quarter,2019/20 Q4,South Ayrshire,0-17 years,10+ hours,4,0,NA
Financial Quarter,2019/20 Q4,South Ayrshire,0-17 years,Unknown,5,0,NA
Financial Quarter,2019/20 Q4,South Ayrshire,18-64 years,0 - <2 hours,1,20,4.5
Financial Quarter,2019/20 Q4,South Ayrshire,18-64 years,2 - <4 hours,2,55,12.5
Financial Quarter,2019/20 Q4,South Ayrshire,18-64 years,4 - <10 hours,3,115,26.1
Financial Quarter,2019/20 Q4,South Ayrshire,18-64 years,10+ hours,4,250,56.8
Financial Quarter,2019/20 Q4,South Ayrshire,18-64 years,Unknown,5,0,0
Financial Quarter,2019/20 Q4,South Ayrshire,65-74 years,0 - <2 hours,1,15,5.6
Financial Quarter,2019/20 Q4,South Ayrshire,65-74 years,2 - <4 hours,2,50,18.5
Financial Quarter,2019/20 Q4,South Ayrshire,65-74 years,4 - <10 hours,3,90,33.3
Financial Quarter,2019/20 Q4,South Ayrshire,65-74 years,10+ hours,4,115,42.6
Financial Quarter,2019/20 Q4,South Ayrshire,65-74 years,Unknown,5,0,0
Financial Quarter,2019/20 Q4,South Ayrshire,75-84 years,0 - <2 hours,1,45,8.3
Financial Quarter,2019/20 Q4,South Ayrshire,75-84 years,2 - <4 hours,2,95,17.4
Financial Quarter,2019/20 Q4,South Ayrshire,75-84 years,4 - <10 hours,3,215,39.4
Financial Quarter,2019/20 Q4,South Ayrshire,75-84 years,10+ hours,4,190,34.9
Financial Quarter,2019/20 Q4,South Ayrshire,75-84 years,Unknown,5,0,0
Financial Quarter,2019/20 Q4,South Ayrshire,85+ years,0 - <2 hours,1,40,7.1
Financial Quarter,2019/20 Q4,South Ayrshire,85+ years,2 - <4 hours,2,90,16.1
Financial Quarter,2019/20 Q4,South Ayrshire,85+ years,4 - <10 hours,3,205,36.6
Financial Quarter,2019/20 Q4,South Ayrshire,85+ years,10+ hours,4,225,40.2
Financial Quarter,2019/20 Q4,South Ayrshire,85+ years,Unknown,5,0,0
Financial Quarter,2019/20 Q4,South Ayrshire,Unknown,0 - <2 hours,1,0,NA
Financial Quarter,2019/20 Q4,South Ayrshire,Unknown,2 - <4 hours,2,0,NA
Financial Quarter,2019/20 Q4,South Ayrshire,Unknown,4 - <10 hours,3,0,NA
Financial Quarter,2019/20 Q4,South Ayrshire,Unknown,10+ hours,4,0,NA
Financial Quarter,2019/20 Q4,South Ayrshire,Unknown,Unknown,5,0,NA
Financial Quarter,2020/21 Q1,South Ayrshire,All Ages,0 - <2 hours,1,140,7.7
Financial Quarter,2020/21 Q1,South Ayrshire,All Ages,2 - <4 hours,2,275,15.2
Financial Quarter,2020/21 Q1,South Ayrshire,All Ages,4 - <10 hours,3,605,33.4
Financial Quarter,2020/21 Q1,South Ayrshire,All Ages,10+ hours,4,790,43.6
Financial Quarter,2020/21 Q1,South Ayrshire,All Ages,Unknown,5,0,0
Financial Quarter,2020/21 Q1,South Ayrshire,0-17 years,0 - <2 hours,1,0,NA
Financial Quarter,2020/21 Q1,South Ayrshire,0-17 years,2 - <4 hours,2,0,NA
Financial Quarter,2020/21 Q1,South Ayrshire,0-17 years,4 - <10 hours,3,0,NA
Financial Quarter,2020/21 Q1,South Ayrshire,0-17 years,10+ hours,4,0,NA
Financial Quarter,2020/21 Q1,South Ayrshire,0-17 years,Unknown,5,0,NA
Financial Quarter,2020/21 Q1,South Ayrshire,18-64 years,0 - <2 hours,1,35,8.8
Financial Quarter,2020/21 Q1,South Ayrshire,18-64 years,2 - <4 hours,2,55,13.8
Financial Quarter,2020/21 Q1,South Ayrshire,18-64 years,4 - <10 hours,3,105,26.2
Financial Quarter,2020/21 Q1,South Ayrshire,18-64 years,10+ hours,4,205,51.2
Financial Quarter,2020/21 Q1,South Ayrshire,18-64 years,Unknown,5,0,0
Financial Quarter,2020/21 Q1,South Ayrshire,65-74 years,0 - <2 hours,1,15,6.1
Financial Quarter,2020/21 Q1,South Ayrshire,65-74 years,2 - <4 hours,2,40,16.3
Financial Quarter,2020/21 Q1,South Ayrshire,65-74 years,4 - <10 hours,3,80,32.7
Financial Quarter,2020/21 Q1,South Ayrshire,65-74 years,10+ hours,4,110,44.9
Financial Quarter,2020/21 Q1,South Ayrshire,65-74 years,Unknown,5,0,0
Financial Quarter,2020/21 Q1,South Ayrshire,75-84 years,0 - <2 hours,1,45,8.7
Financial Quarter,2020/21 Q1,South Ayrshire,75-84 years,2 - <4 hours,2,70,13.5
Financial Quarter,2020/21 Q1,South Ayrshire,75-84 years,4 - <10 hours,3,200,38.5
Financial Quarter,2020/21 Q1,South Ayrshire,75-84 years,10+ hours,4,205,39.4
Financial Quarter,2020/21 Q1,South Ayrshire,75-84 years,Unknown,5,0,0
Financial Quarter,2020/21 Q1,South Ayrshire,85+ years,0 - <2 hours,1,45,7
Financial Quarter,2020/21 Q1,South Ayrshire,85+ years,2 - <4 hours,2,105,16.3
Financial Quarter,2020/21 Q1,South Ayrshire,85+ years,4 - <10 hours,3,225,34.9
Financial Quarter,2020/21 Q1,South Ayrshire,85+ years,10+ hours,4,270,41.9
Financial Quarter,2020/21 Q1,South Ayrshire,85+ years,Unknown,5,0,0
Financial Quarter,2020/21 Q1,South Ayrshire,Unknown,0 - <2 hours,1,0,NA
Financial Quarter,2020/21 Q1,South Ayrshire,Unknown,2 - <4 hours,2,0,NA
Financial Quarter,2020/21 Q1,South Ayrshire,Unknown,4 - <10 hours,3,0,NA
Financial Quarter,2020/21 Q1,South Ayrshire,Unknown,10+ hours,4,0,NA
Financial Quarter,2020/21 Q1,South Ayrshire,Unknown,Unknown,5,0,NA
Financial Quarter,2020/21 Q2,South Ayrshire,All Ages,0 - <2 hours,1,125,6.6
Financial Quarter,2020/21 Q2,South Ayrshire,All Ages,2 - <4 hours,2,270,14.4
Financial Quarter,2020/21 Q2,South Ayrshire,All Ages,4 - <10 hours,3,660,35.1
Financial Quarter,2020/21 Q2,South Ayrshire,All Ages,10+ hours,4,825,43.9
Financial Quarter,2020/21 Q2,South Ayrshire,All Ages,Unknown,5,0,0
Financial Quarter,2020/21 Q2,South Ayrshire,0-17 years,0 - <2 hours,1,0,NA
Financial Quarter,2020/21 Q2,South Ayrshire,0-17 years,2 - <4 hours,2,0,NA
Financial Quarter,2020/21 Q2,South Ayrshire,0-17 years,4 - <10 hours,3,0,NA
Financial Quarter,2020/21 Q2,South Ayrshire,0-17 years,10+ hours,4,0,NA
Financial Quarter,2020/21 Q2,South Ayrshire,0-17 years,Unknown,5,0,NA
Financial Quarter,2020/21 Q2,South Ayrshire,18-64 years,0 - <2 hours,1,35,8.1
Financial Quarter,2020/21 Q2,South Ayrshire,18-64 years,2 - <4 hours,2,40,9.3
Financial Quarter,2020/21 Q2,South Ayrshire,18-64 years,4 - <10 hours,3,125,29.1
Financial Quarter,2020/21 Q2,South Ayrshire,18-64 years,10+ hours,4,230,53.5
Financial Quarter,2020/21 Q2,South Ayrshire,18-64 years,Unknown,5,0,0
Financial Quarter,2020/21 Q2,South Ayrshire,65-74 years,0 - <2 hours,1,15,5.6
Financial Quarter,2020/21 Q2,South Ayrshire,65-74 years,2 - <4 hours,2,50,18.5
Financial Quarter,2020/21 Q2,South Ayrshire,65-74 years,4 - <10 hours,3,95,35.2
Financial Quarter,2020/21 Q2,South Ayrshire,65-74 years,10+ hours,4,110,40.7
Financial Quarter,2020/21 Q2,South Ayrshire,65-74 years,Unknown,5,0,0
Financial Quarter,2020/21 Q2,South Ayrshire,75-84 years,0 - <2 hours,1,40,7.5
Financial Quarter,2020/21 Q2,South Ayrshire,75-84 years,2 - <4 hours,2,75,14
Financial Quarter,2020/21 Q2,South Ayrshire,75-84 years,4 - <10 hours,3,200,37.4
Financial Quarter,2020/21 Q2,South Ayrshire,75-84 years,10+ hours,4,220,41.1
Financial Quarter,2020/21 Q2,South Ayrshire,75-84 years,Unknown,5,0,0
Financial Quarter,2020/21 Q2,South Ayrshire,85+ years,0 - <2 hours,1,35,5.5
Financial Quarter,2020/21 Q2,South Ayrshire,85+ years,2 - <4 hours,2,100,15.6
Financial Quarter,2020/21 Q2,South Ayrshire,85+ years,4 - <10 hours,3,240,37.5
Financial Quarter,2020/21 Q2,South Ayrshire,85+ years,10+ hours,4,265,41.4
Financial Quarter,2020/21 Q2,South Ayrshire,85+ years,Unknown,5,0,0
Financial Quarter,2020/21 Q2,South Ayrshire,Unknown,0 - <2 hours,1,0,NA
Financial Quarter,2020/21 Q2,South Ayrshire,Unknown,2 - <4 hours,2,0,NA
Financial Quarter,2020/21 Q2,South Ayrshire,Unknown,4 - <10 hours,3,0,NA
Financial Quarter,2020/21 Q2,South Ayrshire,Unknown,10+ hours,4,0,NA
Financial Quarter,2020/21 Q2,South Ayrshire,Unknown,Unknown,5,0,NA
Financial Quarter,2020/21 Q3,South Ayrshire,All Ages,0 - <2 hours,1,125,6.3
Financial Quarter,2020/21 Q3,South Ayrshire,All Ages,2 - <4 hours,2,300,15
Financial Quarter,2020/21 Q3,South Ayrshire,All Ages,4 - <10 hours,3,710,35.6
Financial Quarter,2020/21 Q3,South Ayrshire,All Ages,10+ hours,4,860,43.1
Financial Quarter,2020/21 Q3,South Ayrshire,All Ages,Unknown,5,0,0
Financial Quarter,2020/21 Q3,South Ayrshire,0-17 years,0 - <2 hours,1,0,0
Financial Quarter,2020/21 Q3,South Ayrshire,0-17 years,2 - <4 hours,2,0,0
Financial Quarter,2020/21 Q3,South Ayrshire,0-17 years,4 - <10 hours,3,5,50
Financial Quarter,2020/21 Q3,South Ayrshire,0-17 years,10+ hours,4,5,50
Financial Quarter,2020/21 Q3,South Ayrshire,0-17 years,Unknown,5,0,0
Financial Quarter,2020/21 Q3,South Ayrshire,18-64 years,0 - <2 hours,1,35,7.8
Financial Quarter,2020/21 Q3,South Ayrshire,18-64 years,2 - <4 hours,2,55,12.2
Financial Quarter,2020/21 Q3,South Ayrshire,18-64 years,4 - <10 hours,3,120,26.7
Financial Quarter,2020/21 Q3,South Ayrshire,18-64 years,10+ hours,4,240,53.3
Financial Quarter,2020/21 Q3,South Ayrshire,18-64 years,Unknown,5,0,0
Financial Quarter,2020/21 Q3,South Ayrshire,65-74 years,0 - <2 hours,1,15,5.5
Financial Quarter,2020/21 Q3,South Ayrshire,65-74 years,2 - <4 hours,2,50,18.2
Financial Quarter,2020/21 Q3,South Ayrshire,65-74 years,4 - <10 hours,3,100,36.4
Financial Quarter,2020/21 Q3,South Ayrshire,65-74 years,10+ hours,4,110,40
Financial Quarter,2020/21 Q3,South Ayrshire,65-74 years,Unknown,5,0,0
Financial Quarter,2020/21 Q3,South Ayrshire,75-84 years,0 - <2 hours,1,40,6.8
Financial Quarter,2020/21 Q3,South Ayrshire,75-84 years,2 - <4 hours,2,90,15.3
Financial Quarter,2020/21 Q3,South Ayrshire,75-84 years,4 - <10 hours,3,225,38.1
Financial Quarter,2020/21 Q3,South Ayrshire,75-84 years,10+ hours,4,235,39.8
Financial Quarter,2020/21 Q3,South Ayrshire,75-84 years,Unknown,5,0,0
Financial Quarter,2020/21 Q3,South Ayrshire,85+ years,0 - <2 hours,1,35,5.2
Financial Quarter,2020/21 Q3,South Ayrshire,85+ years,2 - <4 hours,2,105,15.7
Financial Quarter,2020/21 Q3,South Ayrshire,85+ years,4 - <10 hours,3,260,38.8
Financial Quarter,2020/21 Q3,South Ayrshire,85+ years,10+ hours,4,270,40.3
Financial Quarter,2020/21 Q3,South Ayrshire,85+ years,Unknown,5,0,0
Financial Quarter,2020/21 Q3,South Ayrshire,Unknown,0 - <2 hours,1,0,NA
Financial Quarter,2020/21 Q3,South Ayrshire,Unknown,2 - <4 hours,2,0,NA
Financial Quarter,2020/21 Q3,South Ayrshire,Unknown,4 - <10 hours,3,0,NA
Financial Quarter,2020/21 Q3,South Ayrshire,Unknown,10+ hours,4,0,NA
Financial Quarter,2020/21 Q3,South Ayrshire,Unknown,Unknown,5,0,NA
Financial Quarter,2020/21 Q4,South Ayrshire,All Ages,0 - <2 hours,1,100,5.2
Financial Quarter,2020/21 Q4,South Ayrshire,All Ages,2 - <4 hours,2,320,16.5
Financial Quarter,2020/21 Q4,South Ayrshire,All Ages,4 - <10 hours,3,650,33.5
Financial Quarter,2020/21 Q4,South Ayrshire,All Ages,10+ hours,4,870,44.8
Financial Quarter,2020/21 Q4,South Ayrshire,All Ages,Unknown,5,0,0
Financial Quarter,2020/21 Q4,South Ayrshire,0-17 years,0 - <2 hours,1,0,0
Financial Quarter,2020/21 Q4,South Ayrshire,0-17 years,2 - <4 hours,2,0,0
Financial Quarter,2020/21 Q4,South Ayrshire,0-17 years,4 - <10 hours,3,0,0
Financial Quarter,2020/21 Q4,South Ayrshire,0-17 years,10+ hours,4,5,100
Financial Quarter,2020/21 Q4,South Ayrshire,0-17 years,Unknown,5,0,0
Financial Quarter,2020/21 Q4,South Ayrshire,18-64 years,0 - <2 hours,1,20,4.8
Financial Quarter,2020/21 Q4,South Ayrshire,18-64 years,2 - <4 hours,2,60,14.3
Financial Quarter,2020/21 Q4,South Ayrshire,18-64 years,4 - <10 hours,3,95,22.6
Financial Quarter,2020/21 Q4,South Ayrshire,18-64 years,10+ hours,4,245,58.3
Financial Quarter,2020/21 Q4,South Ayrshire,18-64 years,Unknown,5,0,0
Financial Quarter,2020/21 Q4,South Ayrshire,65-74 years,0 - <2 hours,1,15,5.2
Financial Quarter,2020/21 Q4,South Ayrshire,65-74 years,2 - <4 hours,2,55,19
Financial Quarter,2020/21 Q4,South Ayrshire,65-74 years,4 - <10 hours,3,100,34.5
Financial Quarter,2020/21 Q4,South Ayrshire,65-74 years,10+ hours,4,120,41.4
Financial Quarter,2020/21 Q4,South Ayrshire,65-74 years,Unknown,5,0,0
Financial Quarter,2020/21 Q4,South Ayrshire,75-84 years,0 - <2 hours,1,35,5.9
Financial Quarter,2020/21 Q4,South Ayrshire,75-84 years,2 - <4 hours,2,100,16.9
Financial Quarter,2020/21 Q4,South Ayrshire,75-84 years,4 - <10 hours,3,215,36.4
Financial Quarter,2020/21 Q4,South Ayrshire,75-84 years,10+ hours,4,240,40.7
Financial Quarter,2020/21 Q4,South Ayrshire,75-84 years,Unknown,5,0,0
Financial Quarter,2020/21 Q4,South Ayrshire,85+ years,0 - <2 hours,1,35,5.5
Financial Quarter,2020/21 Q4,South Ayrshire,85+ years,2 - <4 hours,2,105,16.5
Financial Quarter,2020/21 Q4,South Ayrshire,85+ years,4 - <10 hours,3,240,37.8
Financial Quarter,2020/21 Q4,South Ayrshire,85+ years,10+ hours,4,255,40.2
Financial Quarter,2020/21 Q4,South Ayrshire,85+ years,Unknown,5,0,0
Financial Quarter,2020/21 Q4,South Ayrshire,Unknown,0 - <2 hours,1,0,NA
Financial Quarter,2020/21 Q4,South Ayrshire,Unknown,2 - <4 hours,2,0,NA
Financial Quarter,2020/21 Q4,South Ayrshire,Unknown,4 - <10 hours,3,0,NA
Financial Quarter,2020/21 Q4,South Ayrshire,Unknown,10+ hours,4,0,NA
Financial Quarter,2020/21 Q4,South Ayrshire,Unknown,Unknown,5,0,NA
Census Week,2017/18,South Ayrshire,All Ages,0 - <2 hours,1,190,12.3
Census Week,2017/18,South Ayrshire,All Ages,2 - <4 hours,2,285,18.4
Census Week,2017/18,South Ayrshire,All Ages,4 - <10 hours,3,500,32.4
Census Week,2017/18,South Ayrshire,All Ages,10+ hours,4,570,36.9
Census Week,2017/18,South Ayrshire,All Ages,Unknown,5,0,0
Census Week,2017/18,South Ayrshire,0-17 years,0 - <2 hours,1,0,NA
Census Week,2017/18,South Ayrshire,0-17 years,2 - <4 hours,2,0,NA
Census Week,2017/18,South Ayrshire,0-17 years,4 - <10 hours,3,0,NA
Census Week,2017/18,South Ayrshire,0-17 years,10+ hours,4,0,NA
Census Week,2017/18,South Ayrshire,0-17 years,Unknown,5,0,NA
Census Week,2017/18,South Ayrshire,18-64 years,0 - <2 hours,1,30,9.4
Census Week,2017/18,South Ayrshire,18-64 years,2 - <4 hours,2,40,12.5
Census Week,2017/18,South Ayrshire,18-64 years,4 - <10 hours,3,90,28.1
Census Week,2017/18,South Ayrshire,18-64 years,10+ hours,4,160,50
Census Week,2017/18,South Ayrshire,18-64 years,Unknown,5,0,0
Census Week,2017/18,South Ayrshire,65-74 years,0 - <2 hours,1,30,12.2
Census Week,2017/18,South Ayrshire,65-74 years,2 - <4 hours,2,55,22.4
Census Week,2017/18,South Ayrshire,65-74 years,4 - <10 hours,3,70,28.6
Census Week,2017/18,South Ayrshire,65-74 years,10+ hours,4,90,36.7
Census Week,2017/18,South Ayrshire,65-74 years,Unknown,5,0,0
Census Week,2017/18,South Ayrshire,75-84 years,0 - <2 hours,1,75,15.8
Census Week,2017/18,South Ayrshire,75-84 years,2 - <4 hours,2,90,18.9
Census Week,2017/18,South Ayrshire,75-84 years,4 - <10 hours,3,160,33.7
Census Week,2017/18,South Ayrshire,75-84 years,10+ hours,4,150,31.6
Census Week,2017/18,South Ayrshire,75-84 years,Unknown,5,0,0
Census Week,2017/18,South Ayrshire,85+ years,0 - <2 hours,1,55,10.9
