time_period,financial_quarter,sending_location,age_group,level_of_service,hours_order,nclient,percentage
Financial Quarter,2018/19 Q4,Aberdeenshire,All Ages,4 - <10 hours,3,805,36.8
Financial Quarter,2018/19 Q4,Aberdeenshire,All Ages,10+ hours,4,670,30.7
Financial Quarter,2018/19 Q4,Aberdeenshire,All Ages,Unknown,5,0,0
Financial Quarter,2018/19 Q4,Aberdeenshire,0-17 years,0 - <2 hours,1,0,NA
Financial Quarter,2018/19 Q4,Aberdeenshire,0-17 years,2 - <4 hours,2,0,NA
Financial Quarter,2018/19 Q4,Aberdeenshire,0-17 years,4 - <10 hours,3,0,NA
Financial Quarter,2018/19 Q4,Aberdeenshire,0-17 years,10+ hours,4,0,NA
Financial Quarter,2018/19 Q4,Aberdeenshire,0-17 years,Unknown,5,0,NA
Financial Quarter,2018/19 Q4,Aberdeenshire,18-64 years,0 - <2 hours,1,35,12.5
Financial Quarter,2018/19 Q4,Aberdeenshire,18-64 years,2 - <4 hours,2,40,14.3
Financial Quarter,2018/19 Q4,Aberdeenshire,18-64 years,4 - <10 hours,3,115,41.1
Financial Quarter,2018/19 Q4,Aberdeenshire,18-64 years,10+ hours,4,90,32.1
Financial Quarter,2018/19 Q4,Aberdeenshire,18-64 years,Unknown,5,0,0
Financial Quarter,2018/19 Q4,Aberdeenshire,65-74 years,0 - <2 hours,1,40,12.7
Financial Quarter,2018/19 Q4,Aberdeenshire,65-74 years,2 - <4 hours,2,50,15.9
Financial Quarter,2018/19 Q4,Aberdeenshire,65-74 years,4 - <10 hours,3,125,39.7
Financial Quarter,2018/19 Q4,Aberdeenshire,65-74 years,10+ hours,4,100,31.7
Financial Quarter,2018/19 Q4,Aberdeenshire,65-74 years,Unknown,5,0,0
Financial Quarter,2018/19 Q4,Aberdeenshire,75-84 years,0 - <2 hours,1,120,16
Financial Quarter,2018/19 Q4,Aberdeenshire,75-84 years,2 - <4 hours,2,145,19.3
Financial Quarter,2018/19 Q4,Aberdeenshire,75-84 years,4 - <10 hours,3,270,36
Financial Quarter,2018/19 Q4,Aberdeenshire,75-84 years,10+ hours,4,215,28.7
Financial Quarter,2018/19 Q4,Aberdeenshire,75-84 years,Unknown,5,0,0
Financial Quarter,2018/19 Q4,Aberdeenshire,85+ years,0 - <2 hours,1,135,16.2
Financial Quarter,2018/19 Q4,Aberdeenshire,85+ years,2 - <4 hours,2,140,16.8
Financial Quarter,2018/19 Q4,Aberdeenshire,85+ years,4 - <10 hours,3,295,35.3
Financial Quarter,2018/19 Q4,Aberdeenshire,85+ years,10+ hours,4,265,31.7
Financial Quarter,2018/19 Q4,Aberdeenshire,85+ years,Unknown,5,0,0
Financial Quarter,2018/19 Q4,Aberdeenshire,Unknown,0 - <2 hours,1,0,NA
Financial Quarter,2018/19 Q4,Aberdeenshire,Unknown,2 - <4 hours,2,0,NA
Financial Quarter,2018/19 Q4,Aberdeenshire,Unknown,4 - <10 hours,3,0,NA
Financial Quarter,2018/19 Q4,Aberdeenshire,Unknown,10+ hours,4,0,NA
Financial Quarter,2018/19 Q4,Aberdeenshire,Unknown,Unknown,5,0,NA
Financial Quarter,2019/20 Q1,Aberdeenshire,All Ages,0 - <2 hours,1,280,11.1
Financial Quarter,2019/20 Q1,Aberdeenshire,All Ages,2 - <4 hours,2,470,18.6
Financial Quarter,2019/20 Q1,Aberdeenshire,All Ages,4 - <10 hours,3,920,36.4
Financial Quarter,2019/20 Q1,Aberdeenshire,All Ages,10+ hours,4,860,34
Financial Quarter,2019/20 Q1,Aberdeenshire,All Ages,Unknown,5,0,0
Financial Quarter,2019/20 Q1,Aberdeenshire,0-17 years,0 - <2 hours,1,0,NA
Financial Quarter,2019/20 Q1,Aberdeenshire,0-17 years,2 - <4 hours,2,0,NA
Financial Quarter,2019/20 Q1,Aberdeenshire,0-17 years,4 - <10 hours,3,0,NA
Financial Quarter,2019/20 Q1,Aberdeenshire,0-17 years,10+ hours,4,0,NA
Financial Quarter,2019/20 Q1,Aberdeenshire,0-17 years,Unknown,5,0,NA
Financial Quarter,2019/20 Q1,Aberdeenshire,18-64 years,0 - <2 hours,1,25,8.3
Financial Quarter,2019/20 Q1,Aberdeenshire,18-64 years,2 - <4 hours,2,40,13.3
Financial Quarter,2019/20 Q1,Aberdeenshire,18-64 years,4 - <10 hours,3,125,41.7
Financial Quarter,2019/20 Q1,Aberdeenshire,18-64 years,10+ hours,4,110,36.7
Financial Quarter,2019/20 Q1,Aberdeenshire,18-64 years,Unknown,5,0,0
Financial Quarter,2019/20 Q1,Aberdeenshire,65-74 years,0 - <2 hours,1,25,7.2
Financial Quarter,2019/20 Q1,Aberdeenshire,65-74 years,2 - <4 hours,2,70,20.3
Financial Quarter,2019/20 Q1,Aberdeenshire,65-74 years,4 - <10 hours,3,135,39.1
Financial Quarter,2019/20 Q1,Aberdeenshire,65-74 years,10+ hours,4,115,33.3
Financial Quarter,2019/20 Q1,Aberdeenshire,65-74 years,Unknown,5,0,0
Financial Quarter,2019/20 Q1,Aberdeenshire,75-84 years,0 - <2 hours,1,95,11.7
Financial Quarter,2019/20 Q1,Aberdeenshire,75-84 years,2 - <4 hours,2,180,22.1
Financial Quarter,2019/20 Q1,Aberdeenshire,75-84 years,4 - <10 hours,3,290,35.6
Financial Quarter,2019/20 Q1,Aberdeenshire,75-84 years,10+ hours,4,250,30.7
Financial Quarter,2019/20 Q1,Aberdeenshire,75-84 years,Unknown,5,0,0
Financial Quarter,2019/20 Q1,Aberdeenshire,85+ years,0 - <2 hours,1,140,13
Financial Quarter,2019/20 Q1,Aberdeenshire,85+ years,2 - <4 hours,2,180,16.7
Financial Quarter,2019/20 Q1,Aberdeenshire,85+ years,4 - <10 hours,3,370,34.4
