time_period,financial_quarter,sending_location,age_group,measure,value
Financial Quarter,2018/19 Q2,Angus,All Ages,Number of People,1285
Financial Quarter,2018/19 Q2,Angus,All Ages,Number of Hours,111170
Financial Quarter,2018/19 Q2,Argyll and Bute,All Ages,"Rate per 1,000 Population",18.4
Financial Quarter,2018/19 Q2,Argyll and Bute,All Ages,Number of People,1585
Financial Quarter,2018/19 Q2,Argyll and Bute,All Ages,Number of Hours,293710
Financial Quarter,2018/19 Q2,City of Edinburgh,All Ages,"Rate per 1,000 Population",10.1
Financial Quarter,2018/19 Q2,City of Edinburgh,All Ages,Number of People,5225
Financial Quarter,2018/19 Q2,City of Edinburgh,All Ages,Number of Hours,1162060
Financial Quarter,2018/19 Q2,Clackmannanshire,All Ages,"Rate per 1,000 Population",16.1
Financial Quarter,2018/19 Q2,Clackmannanshire,All Ages,Number of People,830
Financial Quarter,2018/19 Q2,Clackmannanshire,All Ages,Number of Hours,136180
Financial Quarter,2018/19 Q2,Comhairle nan Eilean Siar,All Ages,"Rate per 1,000 Population",14.5
Financial Quarter,2018/19 Q2,Comhairle nan Eilean Siar,All Ages,Number of People,390
Financial Quarter,2018/19 Q2,Comhairle nan Eilean Siar,All Ages,Number of Hours,21520
Financial Quarter,2018/19 Q2,Dumfries and Galloway,All Ages,"Rate per 1,000 Population",15.8
Financial Quarter,2018/19 Q2,Dumfries and Galloway,All Ages,Number of People,2355
Financial Quarter,2018/19 Q2,Dumfries and Galloway,All Ages,Number of Hours,446420
Financial Quarter,2018/19 Q2,Dundee City,All Ages,"Rate per 1,000 Population",13.1
Financial Quarter,2018/19 Q2,Dundee City,All Ages,Number of People,1955
Financial Quarter,2018/19 Q2,Dundee City,All Ages,Number of Hours,237090
Financial Quarter,2018/19 Q2,East Ayrshire,All Ages,"Rate per 1,000 Population",15.8
Financial Quarter,2018/19 Q2,East Ayrshire,All Ages,Number of People,1925
Financial Quarter,2018/19 Q2,East Ayrshire,All Ages,Number of Hours,212915
Financial Quarter,2018/19 Q2,East Dunbartonshire,All Ages,"Rate per 1,000 Population",14.8
