time_period,financial_quarter,sending_location,age_group,measure,value,scotland_value
Census Week,2013/14,Midlothian,All Ages,"Rate per 1,000 Population",11.2,11.6
Census Week,2013/14,Midlothian,All Ages,Number of People,945,61735
Census Week,2013/14,Midlothian,All Ages,Number of Hours,9875,678890
Census Week,2013/14,Moray,All Ages,"Rate per 1,000 Population",13.4,11.6
Census Week,2013/14,Moray,All Ages,Number of People,1260,61735
Census Week,2013/14,Moray,All Ages,Number of Hours,12525,678890
Census Week,2013/14,North Ayrshire,All Ages,"Rate per 1,000 Population",14.2,11.6
Census Week,2013/14,North Ayrshire,All Ages,Number of People,1950,61735
Census Week,2013/14,North Ayrshire,All Ages,Number of Hours,27045,678890
Census Week,2013/14,North Lanarkshire,All Ages,"Rate per 1,000 Population",10,11.6
Census Week,2013/14,North Lanarkshire,All Ages,Number of People,3380,61735
Census Week,2013/14,North Lanarkshire,All Ages,Number of Hours,29775,678890
Census Week,2013/14,Orkney Islands,All Ages,"Rate per 1,000 Population",12.8,11.6
Census Week,2013/14,Orkney Islands,All Ages,Number of People,275,61735
Census Week,2013/14,Orkney Islands,All Ages,Number of Hours,2560,678890
Census Week,2013/14,Perth and Kinross,All Ages,"Rate per 1,000 Population",9.2,11.6
Census Week,2013/14,Perth and Kinross,All Ages,Number of People,1355,61735
Census Week,2013/14,Perth and Kinross,All Ages,Number of Hours,10560,678890
Census Week,2013/14,Renfrewshire,All Ages,"Rate per 1,000 Population",11.7,11.6
Census Week,2013/14,Renfrewshire,All Ages,Number of People,2035,61735
Census Week,2013/14,Renfrewshire,All Ages,Number of Hours,30100,678890
Census Week,2013/14,Scottish Borders,All Ages,"Rate per 1,000 Population",12,11.6
Census Week,2013/14,Scottish Borders,All Ages,Number of People,1370,61735
Census Week,2013/14,Scottish Borders,All Ages,Number of Hours,9195,678890
Census Week,2013/14,Shetland,All Ages,"Rate per 1,000 Population",15.9,11.6
Census Week,2013/14,Shetland,All Ages,Number of People,370,61735
Census Week,2013/14,Shetland,All Ages,Number of Hours,2310,678890
Census Week,2013/14,South Ayrshire,All Ages,"Rate per 1,000 Population",16.3,11.6
Census Week,2013/14,South Ayrshire,All Ages,Number of People,1835,61735
Census Week,2013/14,South Ayrshire,All Ages,Number of Hours,21835,678890
Census Week,2013/14,South Lanarkshire,All Ages,"Rate per 1,000 Population",11.5,11.6
Census Week,2013/14,South Lanarkshire,All Ages,Number of People,3620,61735
Census Week,2013/14,South Lanarkshire,All Ages,Number of Hours,43680,678890
Census Week,2013/14,Stirling,All Ages,"Rate per 1,000 Population",13.6,11.6
Census Week,2013/14,Stirling,All Ages,Number of People,1245,61735
Census Week,2013/14,Stirling,All Ages,Number of Hours,18610,678890
Census Week,2013/14,West Dunbartonshire,All Ages,"Rate per 1,000 Population",17.1,11.6
Census Week,2013/14,West Dunbartonshire,All Ages,Number of People,1535,61735
Census Week,2013/14,West Dunbartonshire,All Ages,Number of Hours,11725,678890
Census Week,2013/14,West Lothian,All Ages,"Rate per 1,000 Population",11.8,11.6
Census Week,2013/14,West Lothian,All Ages,Number of People,2075,61735
Census Week,2013/14,West Lothian,All Ages,Number of Hours,18515,678890
Census Week,2014/15,Scotland (Estimated),All Ages,"Rate per 1,000 Population",11.5,11.5
Census Week,2014/15,Scotland (Estimated),All Ages,Number of People,61500,61500
Census Week,2014/15,Scotland (Estimated),All Ages,Number of Hours,700335,700335
Census Week,2014/15,Aberdeen City,All Ages,"Rate per 1,000 Population",7.6,11.5
Census Week,2014/15,Aberdeen City,All Ages,Number of People,1745,61500
Census Week,2014/15,Aberdeen City,All Ages,Number of Hours,17920,700335
Census Week,2014/15,Aberdeenshire,All Ages,"Rate per 1,000 Population",8,11.5
Census Week,2014/15,Aberdeenshire,All Ages,Number of People,2085,61500
Census Week,2014/15,Aberdeenshire,All Ages,Number of Hours,17975,700335
Census Week,2014/15,Angus,All Ages,"Rate per 1,000 Population",18.2,11.5
Census Week,2014/15,Angus,All Ages,Number of People,2120,61500
Census Week,2014/15,Angus,All Ages,Number of Hours,17325,700335
Census Week,2014/15,Argyll and Bute,All Ages,"Rate per 1,000 Population",13.5,11.5
Census Week,2014/15,Argyll and Bute,All Ages,Number of People,1180,61500
Census Week,2014/15,Argyll and Bute,All Ages,Number of Hours,12200,700335
Census Week,2014/15,City of Edinburgh,All Ages,"Rate per 1,000 Population",10,11.5
Census Week,2014/15,City of Edinburgh,All Ages,Number of People,4905,61500
Census Week,2014/15,City of Edinburgh,All Ages,Number of Hours,72755,700335
Census Week,2014/15,Clackmannanshire,All Ages,"Rate per 1,000 Population",12.4,11.5
Census Week,2014/15,Clackmannanshire,All Ages,Number of People,635,61500
Census Week,2014/15,Clackmannanshire,All Ages,Number of Hours,7645,700335
Census Week,2014/15,Comhairle nan Eilean Siar,All Ages,"Rate per 1,000 Population",17.6,11.5
Census Week,2014/15,Comhairle nan Eilean Siar,All Ages,Number of People,480,61500
Census Week,2014/15,Comhairle nan Eilean Siar,All Ages,Number of Hours,4540,700335
Census Week,2014/15,Dumfries and Galloway,All Ages,"Rate per 1,000 Population",15.3,11.5
Census Week,2014/15,Dumfries and Galloway,All Ages,Number of People,2295,61500
Census Week,2014/15,Dumfries and Galloway,All Ages,Number of Hours,39180,700335
Census Week,2014/15,Dundee City,All Ages,"Rate per 1,000 Population",12.6,11.5
Census Week,2014/15,Dundee City,All Ages,Number of People,1860,61500
Census Week,2014/15,Dundee City,All Ages,Number of Hours,15970,700335
Census Week,2014/15,East Ayrshire,All Ages,"Rate per 1,000 Population",14.6,11.5
Census Week,2014/15,East Ayrshire,All Ages,Number of People,1785,61500
Census Week,2014/15,East Ayrshire,All Ages,Number of Hours,17910,700335
Census Week,2014/15,East Dunbartonshire,All Ages,"Rate per 1,000 Population",12.6,11.5
Census Week,2014/15,East Dunbartonshire,All Ages,Number of People,1345,61500
Census Week,2014/15,East Dunbartonshire,All Ages,Number of Hours,19735,700335
Census Week,2014/15,East Lothian,All Ages,"Rate per 1,000 Population",15.2,11.5
Census Week,2014/15,East Lothian,All Ages,Number of People,1555,61500
Census Week,2014/15,East Lothian,All Ages,Number of Hours,21505,700335
Census Week,2014/15,East Renfrewshire,All Ages,"Rate per 1,000 Population",10.5,11.5
Census Week,2014/15,East Renfrewshire,All Ages,Number of People,970,61500
Census Week,2014/15,East Renfrewshire,All Ages,Number of Hours,6145,700335
Census Week,2014/15,Falkirk,All Ages,"Rate per 1,000 Population",15.3,11.5
Census Week,2014/15,Falkirk,All Ages,Number of People,2420,61500
Census Week,2014/15,Falkirk,All Ages,Number of Hours,21705,700335
Census Week,2014/15,Fife,All Ages,"Rate per 1,000 Population",9.8,11.5
Census Week,2014/15,Fife,All Ages,Number of People,3615,61500
Census Week,2014/15,Fife,All Ages,Number of Hours,54160,700335
Census Week,2014/15,Glasgow City,All Ages,"Rate per 1,000 Population",10.6,11.5
Census Week,2014/15,Glasgow City,All Ages,Number of People,6370,61500
Census Week,2014/15,Glasgow City,All Ages,Number of Hours,74880,700335
Census Week,2014/15,Highland,All Ages,"Rate per 1,000 Population",8.2,11.5
Census Week,2014/15,Highland,All Ages,Number of People,1920,61500
Census Week,2014/15,Highland,All Ages,Number of Hours,13875,700335
Census Week,2014/15,Inverclyde,All Ages,"Rate per 1,000 Population",15.8,11.5
Census Week,2014/15,Inverclyde,All Ages,Number of People,1260,61500
Census Week,2014/15,Inverclyde,All Ages,Number of Hours,16720,700335
Census Week,2014/15,Midlothian,All Ages,"Rate per 1,000 Population",9.7,11.5
Census Week,2014/15,Midlothian,All Ages,Number of People,840,61500
Census Week,2014/15,Midlothian,All Ages,Number of Hours,10245,700335
Census Week,2014/15,Moray,All Ages,"Rate per 1,000 Population",12.7,11.5
Census Week,2014/15,Moray,All Ages,Number of People,1200,61500
Census Week,2014/15,Moray,All Ages,Number of Hours,12185,700335
Census Week,2014/15,North Ayrshire,All Ages,"Rate per 1,000 Population",14.9,11.5
Census Week,2014/15,North Ayrshire,All Ages,Number of People,2030,61500
Census Week,2014/15,North Ayrshire,All Ages,Number of Hours,25710,700335
Census Week,2014/15,North Lanarkshire,All Ages,"Rate per 1,000 Population",10.5,11.5
Census Week,2014/15,North Lanarkshire,All Ages,Number of People,3545,61500
Census Week,2014/15,North Lanarkshire,All Ages,Number of Hours,32005,700335
Census Week,2014/15,Orkney Islands,All Ages,"Rate per 1,000 Population",12.5,11.5
Census Week,2014/15,Orkney Islands,All Ages,Number of People,270,61500
Census Week,2014/15,Orkney Islands,All Ages,Number of Hours,2535,700335
Census Week,2014/15,Perth and Kinross,All Ages,"Rate per 1,000 Population",9.2,11.5
Census Week,2014/15,Perth and Kinross,All Ages,Number of People,1365,61500
Census Week,2014/15,Perth and Kinross,All Ages,Number of Hours,10595,700335
Census Week,2014/15,Renfrewshire,All Ages,"Rate per 1,000 Population",13.2,11.5
Census Week,2014/15,Renfrewshire,All Ages,Number of People,2295,61500
Census Week,2014/15,Renfrewshire,All Ages,Number of Hours,34630,700335
Census Week,2014/15,Scottish Borders,All Ages,"Rate per 1,000 Population",11.1,11.5
Census Week,2014/15,Scottish Borders,All Ages,Number of People,1265,61500
Census Week,2014/15,Scottish Borders,All Ages,Number of Hours,8450,700335
Census Week,2014/15,Shetland,All Ages,"Rate per 1,000 Population",14.4,11.5
Census Week,2014/15,Shetland,All Ages,Number of People,335,61500
Census Week,2014/15,Shetland,All Ages,Number of Hours,2570,700335
Census Week,2014/15,South Ayrshire,All Ages,"Rate per 1,000 Population",15.3,11.5
Census Week,2014/15,South Ayrshire,All Ages,Number of People,1720,61500
Census Week,2014/15,South Ayrshire,All Ages,Number of Hours,18430,700335
Census Week,2014/15,South Lanarkshire,All Ages,"Rate per 1,000 Population",11,11.5
Census Week,2014/15,South Lanarkshire,All Ages,Number of People,3470,61500
Census Week,2014/15,South Lanarkshire,All Ages,Number of Hours,42610,700335
Census Week,2014/15,Stirling,All Ages,"Rate per 1,000 Population",13.2,11.5
Census Week,2014/15,Stirling,All Ages,Number of People,1210,61500
Census Week,2014/15,Stirling,All Ages,Number of Hours,18895,700335
Census Week,2014/15,West Dunbartonshire,All Ages,"Rate per 1,000 Population",15.4,11.5
Census Week,2014/15,West Dunbartonshire,All Ages,Number of People,1385,61500
Census Week,2014/15,West Dunbartonshire,All Ages,Number of Hours,10485,700335
Census Week,2014/15,West Lothian,All Ages,"Rate per 1,000 Population",11.3,11.5
Census Week,2014/15,West Lothian,All Ages,Number of People,2010,61500
Census Week,2014/15,West Lothian,All Ages,Number of Hours,18835,700335
Census Week,2015/16,Scotland (Estimated),All Ages,"Rate per 1,000 Population",11.1,11.1
Census Week,2015/16,Scotland (Estimated),All Ages,Number of People,59775,59775
Census Week,2015/16,Scotland (Estimated),All Ages,Number of Hours,676515,676515
Census Week,2015/16,Aberdeen City,All Ages,"Rate per 1,000 Population",8,11.1
Census Week,2015/16,Aberdeen City,All Ages,Number of People,1840,59775
Census Week,2015/16,Aberdeen City,All Ages,Number of Hours,19185,676515
Census Week,2015/16,Aberdeenshire,All Ages,"Rate per 1,000 Population",8.2,11.1
Census Week,2015/16,Aberdeenshire,All Ages,Number of People,2140,59775
Census Week,2015/16,Aberdeenshire,All Ages,Number of Hours,17755,676515
Census Week,2015/16,Angus,All Ages,"Rate per 1,000 Population",11.6,11.1
Census Week,2015/16,Angus,All Ages,Number of People,1360,59775
Census Week,2015/16,Angus,All Ages,Number of Hours,10895,676515
Census Week,2015/16,Argyll and Bute,All Ages,"Rate per 1,000 Population",12.5,11.1
Census Week,2015/16,Argyll and Bute,All Ages,Number of People,1090,59775
Census Week,2015/16,Argyll and Bute,All Ages,Number of Hours,11320,676515
Census Week,2015/16,City of Edinburgh,All Ages,"Rate per 1,000 Population",9.6,11.1
Census Week,2015/16,City of Edinburgh,All Ages,Number of People,4765,59775
Census Week,2015/16,City of Edinburgh,All Ages,Number of Hours,78490,676515
Census Week,2015/16,Clackmannanshire,All Ages,"Rate per 1,000 Population",13.5,11.1
Census Week,2015/16,Clackmannanshire,All Ages,Number of People,695,59775
Census Week,2015/16,Clackmannanshire,All Ages,Number of Hours,8735,676515
Census Week,2015/16,Comhairle nan Eilean Siar,All Ages,"Rate per 1,000 Population",15.7,11.1
Census Week,2015/16,Comhairle nan Eilean Siar,All Ages,Number of People,425,59775
Census Week,2015/16,Comhairle nan Eilean Siar,All Ages,Number of Hours,3540,676515
Census Week,2015/16,Dumfries and Galloway,All Ages,"Rate per 1,000 Population",16.3,11.1
Census Week,2015/16,Dumfries and Galloway,All Ages,Number of People,2440,59775
Census Week,2015/16,Dumfries and Galloway,All Ages,Number of Hours,34000,676515
Census Week,2015/16,Dundee City,All Ages,"Rate per 1,000 Population",12.6,11.1
Census Week,2015/16,Dundee City,All Ages,Number of People,1870,59775
Census Week,2015/16,Dundee City,All Ages,Number of Hours,17955,676515
Census Week,2015/16,East Ayrshire,All Ages,"Rate per 1,000 Population",15.1,11.1
Census Week,2015/16,East Ayrshire,All Ages,Number of People,1840,59775
Census Week,2015/16,East Ayrshire,All Ages,Number of Hours,18185,676515
Census Week,2015/16,East Dunbartonshire,All Ages,"Rate per 1,000 Population",12.4,11.1
Census Week,2015/16,East Dunbartonshire,All Ages,Number of People,1325,59775
Census Week,2015/16,East Dunbartonshire,All Ages,Number of Hours,17905,676515
Census Week,2015/16,East Lothian,All Ages,"Rate per 1,000 Population",14.1,11.1
Census Week,2015/16,East Lothian,All Ages,Number of People,1450,59775
Census Week,2015/16,East Lothian,All Ages,Number of Hours,21285,676515
Census Week,2015/16,East Renfrewshire,All Ages,"Rate per 1,000 Population",8.9,11.1
Census Week,2015/16,East Renfrewshire,All Ages,Number of People,830,59775
Census Week,2015/16,East Renfrewshire,All Ages,Number of Hours,5980,676515
Census Week,2015/16,Falkirk,All Ages,"Rate per 1,000 Population",15.5,11.1
Census Week,2015/16,Falkirk,All Ages,Number of People,2450,59775
Census Week,2015/16,Falkirk,All Ages,Number of Hours,21990,676515
Census Week,2015/16,Fife,All Ages,"Rate per 1,000 Population",10.1,11.1
Census Week,2015/16,Fife,All Ages,Number of People,3715,59775
Census Week,2015/16,Fife,All Ages,Number of Hours,55545,676515
Census Week,2015/16,Glasgow City,All Ages,"Rate per 1,000 Population",9.6,11.1
Census Week,2015/16,Glasgow City,All Ages,Number of People,5795,59775
Census Week,2015/16,Glasgow City,All Ages,Number of Hours,54720,676515
Census Week,2015/16,Highland,All Ages,"Rate per 1,000 Population",8.1,11.1
Census Week,2015/16,Highland,All Ages,Number of People,1890,59775
Census Week,2015/16,Highland,All Ages,Number of Hours,14335,676515
Census Week,2015/16,Inverclyde,All Ages,"Rate per 1,000 Population",15.9,11.1
Census Week,2015/16,Inverclyde,All Ages,Number of People,1265,59775
Census Week,2015/16,Inverclyde,All Ages,Number of Hours,10175,676515
Census Week,2015/16,Midlothian,All Ages,"Rate per 1,000 Population",11.2,11.1
Census Week,2015/16,Midlothian,All Ages,Number of People,975,59775
Census Week,2015/16,Midlothian,All Ages,Number of Hours,9690,676515
Census Week,2015/16,Moray,All Ages,"Rate per 1,000 Population",11.6,11.1
Census Week,2015/16,Moray,All Ages,Number of People,1110,59775
Census Week,2015/16,Moray,All Ages,Number of Hours,11530,676515
Census Week,2015/16,North Ayrshire,All Ages,"Rate per 1,000 Population",15.2,11.1
Census Week,2015/16,North Ayrshire,All Ages,Number of People,2075,59775
Census Week,2015/16,North Ayrshire,All Ages,Number of Hours,28240,676515
Census Week,2015/16,North Lanarkshire,All Ages,"Rate per 1,000 Population",10.4,11.1
Census Week,2015/16,North Lanarkshire,All Ages,Number of People,3530,59775
Census Week,2015/16,North Lanarkshire,All Ages,Number of Hours,30960,676515
Census Week,2015/16,Orkney Islands,All Ages,"Rate per 1,000 Population",8.3,11.1
Census Week,2015/16,Orkney Islands,All Ages,Number of People,180,59775
Census Week,2015/16,Orkney Islands,All Ages,Number of Hours,1230,676515
Census Week,2015/16,Perth and Kinross,All Ages,"Rate per 1,000 Population",10.8,11.1
Census Week,2015/16,Perth and Kinross,All Ages,Number of People,1615,59775
Census Week,2015/16,Perth and Kinross,All Ages,Number of Hours,20955,676515
Census Week,2015/16,Renfrewshire,All Ages,"Rate per 1,000 Population",13.1,11.1
Census Week,2015/16,Renfrewshire,All Ages,Number of People,2295,59775
Census Week,2015/16,Renfrewshire,All Ages,Number of Hours,32875,676515
Census Week,2015/16,Scottish Borders,All Ages,"Rate per 1,000 Population",11.1,11.1
Census Week,2015/16,Scottish Borders,All Ages,Number of People,1265,59775
Census Week,2015/16,Scottish Borders,All Ages,Number of Hours,8410,676515
Census Week,2015/16,Shetland,All Ages,"Rate per 1,000 Population",13.4,11.1
Census Week,2015/16,Shetland,All Ages,Number of People,310,59775
Census Week,2015/16,Shetland,All Ages,Number of Hours,2505,676515
Census Week,2015/16,South Ayrshire,All Ages,"Rate per 1,000 Population",14.5,11.1
Census Week,2015/16,South Ayrshire,All Ages,Number of People,1625,59775
Census Week,2015/16,South Ayrshire,All Ages,Number of Hours,17995,676515
Census Week,2015/16,South Lanarkshire,All Ages,"Rate per 1,000 Population",10.9,11.1
Census Week,2015/16,South Lanarkshire,All Ages,Number of People,3435,59775
Census Week,2015/16,South Lanarkshire,All Ages,Number of Hours,43555,676515
Census Week,2015/16,Stirling,All Ages,"Rate per 1,000 Population",12.8,11.1
Census Week,2015/16,Stirling,All Ages,Number of People,1185,59775
Census Week,2015/16,Stirling,All Ages,Number of Hours,18825,676515
Census Week,2015/16,West Dunbartonshire,All Ages,"Rate per 1,000 Population",16,11.1
Census Week,2015/16,West Dunbartonshire,All Ages,Number of People,1430,59775
Census Week,2015/16,West Dunbartonshire,All Ages,Number of Hours,9825,676515
Census Week,2015/16,West Lothian,All Ages,"Rate per 1,000 Population",8.7,11.1
Census Week,2015/16,West Lothian,All Ages,Number of People,1560,59775
Census Week,2015/16,West Lothian,All Ages,Number of Hours,17930,676515
Census Week,2016/17,Scotland (Estimated),All Ages,"Rate per 1,000 Population",11,11
Census Week,2016/17,Scotland (Estimated),All Ages,Number of People,59640,59640
Census Week,2016/17,Scotland (Estimated),All Ages,Number of Hours,696620,696620
Census Week,2016/17,Aberdeen City,All Ages,"Rate per 1,000 Population",7.7,11
Census Week,2016/17,Aberdeen City,All Ages,Number of People,1780,59640
Census Week,2016/17,Aberdeen City,All Ages,Number of Hours,22585,696620
Census Week,2016/17,Aberdeenshire,All Ages,"Rate per 1,000 Population",8.8,11
Census Week,2016/17,Aberdeenshire,All Ages,Number of People,2295,59640
Census Week,2016/17,Aberdeenshire,All Ages,Number of Hours,20920,696620
Census Week,2016/17,Angus,All Ages,"Rate per 1,000 Population",11.7,11
Census Week,2016/17,Angus,All Ages,Number of People,1360,59640
Census Week,2016/17,Angus,All Ages,Number of Hours,10895,696620
Census Week,2016/17,Argyll and Bute,All Ages,"Rate per 1,000 Population",12.3,11
Census Week,2016/17,Argyll and Bute,All Ages,Number of People,1070,59640
Census Week,2016/17,Argyll and Bute,All Ages,Number of Hours,10480,696620
Census Week,2016/17,City of Edinburgh,All Ages,"Rate per 1,000 Population",8.9,11
Census Week,2016/17,City of Edinburgh,All Ages,Number of People,4525,59640
Census Week,2016/17,City of Edinburgh,All Ages,Number of Hours,75065,696620
Census Week,2016/17,Clackmannanshire,All Ages,"Rate per 1,000 Population",13,11
Census Week,2016/17,Clackmannanshire,All Ages,Number of People,665,59640
Census Week,2016/17,Clackmannanshire,All Ages,Number of Hours,8545,696620
Census Week,2016/17,Comhairle nan Eilean Siar,All Ages,"Rate per 1,000 Population",14.7,11
Census Week,2016/17,Comhairle nan Eilean Siar,All Ages,Number of People,395,59640
Census Week,2016/17,Comhairle nan Eilean Siar,All Ages,Number of Hours,2645,696620
Census Week,2016/17,Dumfries and Galloway,All Ages,"Rate per 1,000 Population",15.8,11
Census Week,2016/17,Dumfries and Galloway,All Ages,Number of People,2365,59640
Census Week,2016/17,Dumfries and Galloway,All Ages,Number of Hours,42445,696620
Census Week,2016/17,Dundee City,All Ages,"Rate per 1,000 Population",12.9,11
Census Week,2016/17,Dundee City,All Ages,Number of People,1915,59640
Census Week,2016/17,Dundee City,All Ages,Number of Hours,20225,696620
Census Week,2016/17,East Ayrshire,All Ages,"Rate per 1,000 Population",14.3,11
Census Week,2016/17,East Ayrshire,All Ages,Number of People,1745,59640
Census Week,2016/17,East Ayrshire,All Ages,Number of Hours,17440,696620
Census Week,2016/17,East Dunbartonshire,All Ages,"Rate per 1,000 Population",12.5,11
Census Week,2016/17,East Dunbartonshire,All Ages,Number of People,1345,59640
Census Week,2016/17,East Dunbartonshire,All Ages,Number of Hours,18220,696620
Census Week,2016/17,East Lothian,All Ages,"Rate per 1,000 Population",13.8,11
Census Week,2016/17,East Lothian,All Ages,Number of People,1440,59640
Census Week,2016/17,East Lothian,All Ages,Number of Hours,22010,696620
Census Week,2016/17,East Renfrewshire,All Ages,"Rate per 1,000 Population",11.6,11
Census Week,2016/17,East Renfrewshire,All Ages,Number of People,1090,59640
Census Week,2016/17,East Renfrewshire,All Ages,Number of Hours,7825,696620
Census Week,2016/17,Falkirk,All Ages,"Rate per 1,000 Population",15,11
Census Week,2016/17,Falkirk,All Ages,Number of People,2390,59640
Census Week,2016/17,Falkirk,All Ages,Number of Hours,21750,696620
Census Week,2016/17,Fife,All Ages,"Rate per 1,000 Population",9.9,11
Census Week,2016/17,Fife,All Ages,Number of People,3655,59640
Census Week,2016/17,Fife,All Ages,Number of Hours,62615,696620
Census Week,2016/17,Glasgow City,All Ages,"Rate per 1,000 Population",9.3,11
Census Week,2016/17,Glasgow City,All Ages,Number of People,5695,59640
Census Week,2016/17,Glasgow City,All Ages,Number of Hours,52900,696620
Census Week,2016/17,Highland,All Ages,"Rate per 1,000 Population",7.8,11
Census Week,2016/17,Highland,All Ages,Number of People,1820,59640
Census Week,2016/17,Highland,All Ages,Number of Hours,13820,696620
Census Week,2016/17,Inverclyde,All Ages,"Rate per 1,000 Population",16.1,11
Census Week,2016/17,Inverclyde,All Ages,Number of People,1275,59640
Census Week,2016/17,Inverclyde,All Ages,Number of Hours,9325,696620
Census Week,2016/17,Midlothian,All Ages,"Rate per 1,000 Population",11.6,11
Census Week,2016/17,Midlothian,All Ages,Number of People,1030,59640
Census Week,2016/17,Midlothian,All Ages,Number of Hours,10690,696620
Census Week,2016/17,Moray,All Ages,"Rate per 1,000 Population",9.8,11
Census Week,2016/17,Moray,All Ages,Number of People,945,59640
Census Week,2016/17,Moray,All Ages,Number of Hours,12520,696620
Census Week,2016/17,North Ayrshire,All Ages,"Rate per 1,000 Population",15.6,11
Census Week,2016/17,North Ayrshire,All Ages,Number of People,2120,59640
Census Week,2016/17,North Ayrshire,All Ages,Number of Hours,26625,696620
Census Week,2016/17,North Lanarkshire,All Ages,"Rate per 1,000 Population",10.4,11
Census Week,2016/17,North Lanarkshire,All Ages,Number of People,3540,59640
Census Week,2016/17,North Lanarkshire,All Ages,Number of Hours,30725,696620
Census Week,2016/17,Orkney Islands,All Ages,"Rate per 1,000 Population",9.4,11
Census Week,2016/17,Orkney Islands,All Ages,Number of People,205,59640
Census Week,2016/17,Orkney Islands,All Ages,Number of Hours,1555,696620
Census Week,2016/17,Perth and Kinross,All Ages,"Rate per 1,000 Population",11.6,11
Census Week,2016/17,Perth and Kinross,All Ages,Number of People,1750,59640
Census Week,2016/17,Perth and Kinross,All Ages,Number of Hours,24270,696620
Census Week,2016/17,Renfrewshire,All Ages,"Rate per 1,000 Population",12,11
Census Week,2016/17,Renfrewshire,All Ages,Number of People,2110,59640
Census Week,2016/17,Renfrewshire,All Ages,Number of Hours,30260,696620
Census Week,2016/17,Scottish Borders,All Ages,"Rate per 1,000 Population",10.3,11
Census Week,2016/17,Scottish Borders,All Ages,Number of People,1185,59640
Census Week,2016/17,Scottish Borders,All Ages,Number of Hours,8060,696620
Census Week,2016/17,Shetland,All Ages,"Rate per 1,000 Population",12.7,11
Census Week,2016/17,Shetland,All Ages,Number of People,295,59640
Census Week,2016/17,Shetland,All Ages,Number of Hours,2520,696620
Census Week,2016/17,South Ayrshire,All Ages,"Rate per 1,000 Population",15.4,11
Census Week,2016/17,South Ayrshire,All Ages,Number of People,1730,59640
Census Week,2016/17,South Ayrshire,All Ages,Number of Hours,19065,696620
Census Week,2016/17,South Lanarkshire,All Ages,"Rate per 1,000 Population",11.1,11
Census Week,2016/17,South Lanarkshire,All Ages,Number of People,3510,59640
Census Week,2016/17,South Lanarkshire,All Ages,Number of Hours,43300,696620
Census Week,2016/17,Stirling,All Ages,"Rate per 1,000 Population",12.8,11
Census Week,2016/17,Stirling,All Ages,Number of People,1200,59640
Census Week,2016/17,Stirling,All Ages,Number of Hours,18900,696620
Census Week,2016/17,West Dunbartonshire,All Ages,"Rate per 1,000 Population",16.5,11
Census Week,2016/17,West Dunbartonshire,All Ages,Number of People,1485,59640
Census Week,2016/17,West Dunbartonshire,All Ages,Number of Hours,9295,696620
Census Week,2016/17,West Lothian,All Ages,"Rate per 1,000 Population",9.6,11
Census Week,2016/17,West Lothian,All Ages,Number of People,1725,59640
Census Week,2016/17,West Lothian,All Ages,Number of Hours,19125,696620
Census Week,2017/18,Scotland (Estimated),All Ages,"Rate per 1,000 Population",11.1,11.1
Census Week,2017/18,Scotland (Estimated),All Ages,Number of People,59940,57820
Census Week,2017/18,Scotland (Estimated),All Ages,Number of Hours,702885,702885
Census Week,2017/18,Scotland (Estimated),0-17 years,"Rate per 1,000 Population",0.2,0.2
Census Week,2017/18,Scotland (Estimated),0-17 years,Number of People,220,220
Census Week,2017/18,Scotland (Estimated),0-17 years,Number of Hours,2185,2185
Census Week,2017/18,Scotland (Estimated),18-64 years,"Rate per 1,000 Population",3.2,3.2
Census Week,2017/18,Scotland (Estimated),18-64 years,Number of People,10885,10880
Census Week,2017/18,Scotland (Estimated),18-64 years,Number of Hours,236420,236420
Census Week,2017/18,Scotland (Estimated),65-74 years,"Rate per 1,000 Population",16,16
Census Week,2017/18,Scotland (Estimated),65-74 years,Number of People,9020,9010
Census Week,2017/18,Scotland (Estimated),65-74 years,Number of Hours,86105,86105
Census Week,2017/18,Scotland (Estimated),75-84 years,"Rate per 1,000 Population",56.5,56.5
Census Week,2017/18,Scotland (Estimated),75-84 years,Number of People,18420,18415
Census Week,2017/18,Scotland (Estimated),75-84 years,Number of Hours,135630,135630
Census Week,2017/18,Scotland (Estimated),85+ years,"Rate per 1,000 Population",157.4,157.4
Census Week,2017/18,Scotland (Estimated),85+ years,Number of People,19170,19165
Census Week,2017/18,Scotland (Estimated),85+ years,Number of Hours,147555,147555
Census Week,2017/18,Scotland (Estimated),Unknown,"Rate per 1,000 Population",0,0
Census Week,2017/18,Scotland (Estimated),Unknown,Number of People,0,0
Census Week,2017/18,Scotland (Estimated),Unknown,Number of Hours,0,0
Census Week,2017/18,Aberdeen City,All Ages,"Rate per 1,000 Population",7.6,11.1
Census Week,2017/18,Aberdeen City,All Ages,Number of People,1750,57820
Census Week,2017/18,Aberdeen City,All Ages,Number of Hours,25050,702885
Census Week,2017/18,Aberdeen City,0-17 years,"Rate per 1,000 Population",0.1,0.2
Census Week,2017/18,Aberdeen City,0-17 years,Number of People,5,220
Census Week,2017/18,Aberdeen City,0-17 years,Number of Hours,70,2185
Census Week,2017/18,Aberdeen City,18-64 years,"Rate per 1,000 Population",2.2,3.2
Census Week,2017/18,Aberdeen City,18-64 years,Number of People,335,10880
Census Week,2017/18,Aberdeen City,18-64 years,Number of Hours,11940,236420
Census Week,2017/18,Aberdeen City,65-74 years,"Rate per 1,000 Population",13.1,16
Census Week,2017/18,Aberdeen City,65-74 years,Number of People,250,9010
Census Week,2017/18,Aberdeen City,65-74 years,Number of Hours,2800,86105
