time_period,financial_quarter,sending_location,age_group,measure,value,scotland_value
Financial Quarter,2017/18 Q4,Dundee City,Unknown,Number of Hours,0,0
Financial Quarter,2017/18 Q4,East Ayrshire,All Ages,"Rate per 1,000 Population",16.6,12.5
Financial Quarter,2017/18 Q4,East Ayrshire,All Ages,Number of People,2025,67975
Financial Quarter,2017/18 Q4,East Ayrshire,All Ages,Number of Hours,262980,8347595
Financial Quarter,2017/18 Q4,East Ayrshire,0-17 years,"Rate per 1,000 Population",0,2.5
Financial Quarter,2017/18 Q4,East Ayrshire,0-17 years,Number of People,0,2560
Financial Quarter,2017/18 Q4,East Ayrshire,0-17 years,Number of Hours,0,77010
Financial Quarter,2017/18 Q4,East Ayrshire,18-64 years,"Rate per 1,000 Population",3.9,4
Financial Quarter,2017/18 Q4,East Ayrshire,18-64 years,Number of People,285,13585
Financial Quarter,2017/18 Q4,East Ayrshire,18-64 years,Number of Hours,89225,3070630
Financial Quarter,2017/18 Q4,East Ayrshire,65-74 years,"Rate per 1,000 Population",24.4,20.2
Financial Quarter,2017/18 Q4,East Ayrshire,65-74 years,Number of People,340,11395
Financial Quarter,2017/18 Q4,East Ayrshire,65-74 years,Number of Hours,36405,1127500
Financial Quarter,2017/18 Q4,East Ayrshire,75-84 years,"Rate per 1,000 Population",99,64.7
Financial Quarter,2017/18 Q4,East Ayrshire,75-84 years,Number of People,760,21100
Financial Quarter,2017/18 Q4,East Ayrshire,75-84 years,Number of Hours,71015,1752045
Financial Quarter,2017/18 Q4,East Ayrshire,85+ years,"Rate per 1,000 Population",249.5,181.1
Financial Quarter,2017/18 Q4,East Ayrshire,85+ years,Number of People,640,22065
Financial Quarter,2017/18 Q4,East Ayrshire,85+ years,Number of Hours,66335,1933935
Financial Quarter,2017/18 Q4,East Ayrshire,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2017/18 Q4,East Ayrshire,Unknown,Number of People,0,0
Financial Quarter,2017/18 Q4,East Ayrshire,Unknown,Number of Hours,0,0
Financial Quarter,2017/18 Q4,East Dunbartonshire,All Ages,"Rate per 1,000 Population",14.4,12.5
Financial Quarter,2017/18 Q4,East Dunbartonshire,All Ages,Number of People,1555,67975
