financial_year,sending_location,age_group,sds_option,nclients,percentage
2018/19,East Renfrewshire,All Ages,Option 1 Only,305,29
2018/19,East Renfrewshire,0-17 years,Option 1 Only,95,86
2018/19,East Renfrewshire,18-64 years,Option 1 Only,100,19
2018/19,East Renfrewshire,65-74 years,Option 1 Only,20,19
2018/19,East Renfrewshire,75-84 years,Option 1 Only,50,37
2018/19,East Renfrewshire,85+ years,Option 1 Only,40,24
2018/19,East Renfrewshire,Unknown,Option 1 Only,0,NA
2018/19,East Renfrewshire,All Ages,Option 2 Only,125,12
2018/19,East Renfrewshire,0-17 years,Option 2 Only,0,0
2018/19,East Renfrewshire,18-64 years,Option 2 Only,25,5
2018/19,East Renfrewshire,65-74 years,Option 2 Only,10,10
2018/19,East Renfrewshire,75-84 years,Option 2 Only,35,26
2018/19,East Renfrewshire,85+ years,Option 2 Only,55,33
2018/19,East Renfrewshire,Unknown,Option 2 Only,0,NA
2018/19,East Renfrewshire,All Ages,Option 3 Only,550,52
2018/19,East Renfrewshire,0-17 years,Option 3 Only,10,9
2018/19,East Renfrewshire,18-64 years,Option 3 Only,375,69
2018/19,East Renfrewshire,65-74 years,Option 3 Only,65,62
2018/19,East Renfrewshire,75-84 years,Option 3 Only,40,30
2018/19,East Renfrewshire,85+ years,Option 3 Only,60,36
2018/19,East Renfrewshire,Unknown,Option 3 Only,0,NA
2018/19,East Renfrewshire,All Ages,Option 4 Only,75,7
2018/19,East Renfrewshire,0-17 years,Option 4 Only,5,5
2018/19,East Renfrewshire,18-64 years,Option 4 Only,40,7
2018/19,East Renfrewshire,65-74 years,Option 4 Only,10,10
2018/19,East Renfrewshire,75-84 years,Option 4 Only,10,7
2018/19,East Renfrewshire,85+ years,Option 4 Only,10,6
2018/19,East Renfrewshire,Unknown,Option 4 Only,0,NA
2019/20,East Renfrewshire,All Ages,Option 1 Only,310,27
2019/20,East Renfrewshire,0-17 years,Option 1 Only,95,79
2019/20,East Renfrewshire,18-64 years,Option 1 Only,115,19
2019/20,East Renfrewshire,65-74 years,Option 1 Only,15,14
2019/20,East Renfrewshire,75-84 years,Option 1 Only,45,30
2019/20,East Renfrewshire,85+ years,Option 1 Only,40,21
2019/20,East Renfrewshire,Unknown,Option 1 Only,0,NA
2019/20,East Renfrewshire,All Ages,Option 2 Only,130,11
2019/20,East Renfrewshire,0-17 years,Option 2 Only,0,0
2019/20,East Renfrewshire,18-64 years,Option 2 Only,20,3
2019/20,East Renfrewshire,65-74 years,Option 2 Only,10,10
2019/20,East Renfrewshire,75-84 years,Option 2 Only,35,23
2019/20,East Renfrewshire,85+ years,Option 2 Only,65,34
2019/20,East Renfrewshire,Unknown,Option 2 Only,0,NA
2019/20,East Renfrewshire,All Ages,Option 3 Only,605,52
2019/20,East Renfrewshire,0-17 years,Option 3 Only,15,12
2019/20,East Renfrewshire,18-64 years,Option 3 Only,400,67
2019/20,East Renfrewshire,65-74 years,Option 3 Only,70,67
2019/20,East Renfrewshire,75-84 years,Option 3 Only,50,33
2019/20,East Renfrewshire,85+ years,Option 3 Only,70,37
2019/20,East Renfrewshire,Unknown,Option 3 Only,0,NA
2019/20,East Renfrewshire,All Ages,Option 4 Only,120,10
2019/20,East Renfrewshire,0-17 years,Option 4 Only,10,8
2019/20,East Renfrewshire,18-64 years,Option 4 Only,65,11
2019/20,East Renfrewshire,65-74 years,Option 4 Only,10,10
2019/20,East Renfrewshire,75-84 years,Option 4 Only,20,13
2019/20,East Renfrewshire,85+ years,Option 4 Only,15,8
2019/20,East Renfrewshire,Unknown,Option 4 Only,0,NA
2020/21,East Renfrewshire,All Ages,Option 1 Only,305,26
2020/21,East Renfrewshire,0-17 years,Option 1 Only,95,79
2020/21,East Renfrewshire,18-64 years,Option 1 Only,125,21
2020/21,East Renfrewshire,65-74 years,Option 1 Only,15,14
2020/21,East Renfrewshire,75-84 years,Option 1 Only,35,24
2020/21,East Renfrewshire,85+ years,Option 1 Only,35,19
2020/21,East Renfrewshire,Unknown,Option 1 Only,0,NA
2020/21,East Renfrewshire,All Ages,Option 2 Only,125,11
2020/21,East Renfrewshire,0-17 years,Option 2 Only,0,0
2020/21,East Renfrewshire,18-64 years,Option 2 Only,20,3
2020/21,East Renfrewshire,65-74 years,Option 2 Only,10,10
2020/21,East Renfrewshire,75-84 years,Option 2 Only,35,24
2020/21,East Renfrewshire,85+ years,Option 2 Only,60,33
2020/21,East Renfrewshire,Unknown,Option 2 Only,0,NA
2020/21,East Renfrewshire,All Ages,Option 3 Only,620,53
2020/21,East Renfrewshire,0-17 years,Option 3 Only,20,17
2020/21,East Renfrewshire,18-64 years,Option 3 Only,400,67
2020/21,East Renfrewshire,65-74 years,Option 3 Only,70,67
2020/21,East Renfrewshire,75-84 years,Option 3 Only,55,38
2020/21,East Renfrewshire,85+ years,Option 3 Only,70,39
2020/21,East Renfrewshire,Unknown,Option 3 Only,0,NA
2020/21,East Renfrewshire,All Ages,Option 4 Only,110,9
2020/21,East Renfrewshire,0-17 years,Option 4 Only,5,4
2020/21,East Renfrewshire,18-64 years,Option 4 Only,50,8
2020/21,East Renfrewshire,65-74 years,Option 4 Only,10,10
2020/21,East Renfrewshire,75-84 years,Option 4 Only,20,14
2020/21,East Renfrewshire,85+ years,Option 4 Only,15,8
2020/21,East Renfrewshire,Unknown,Option 4 Only,0,NA
2017/18,Falkirk,All Ages,Option 1 Only,30,1
2017/18,Falkirk,0-17 years,Option 1 Only,0,0
2017/18,Falkirk,18-64 years,Option 1 Only,15,1
2017/18,Falkirk,65-74 years,Option 1 Only,10,1
2017/18,Falkirk,75-84 years,Option 1 Only,5,0
2017/18,Falkirk,85+ years,Option 1 Only,5,0
2017/18,Falkirk,Unknown,Option 1 Only,0,NA
2017/18,Falkirk,All Ages,Option 2 Only,190,5
2017/18,Falkirk,0-17 years,Option 2 Only,0,0
2017/18,Falkirk,18-64 years,Option 2 Only,115,10
2017/18,Falkirk,65-74 years,Option 2 Only,20,3
2017/18,Falkirk,75-84 years,Option 2 Only,25,2
2017/18,Falkirk,85+ years,Option 2 Only,35,3
2017/18,Falkirk,Unknown,Option 2 Only,0,NA
2017/18,Falkirk,All Ages,Option 3 Only,3510,87
2017/18,Falkirk,0-17 years,Option 3 Only,20,100
2017/18,Falkirk,18-64 years,Option 3 Only,900,80
2017/18,Falkirk,65-74 years,Option 3 Only,610,90
2017/18,Falkirk,75-84 years,Option 3 Only,1055,90
2017/18,Falkirk,85+ years,Option 3 Only,925,90
2017/18,Falkirk,Unknown,Option 3 Only,0,NA
2017/18,Falkirk,All Ages,Option 4 Only,290,7
2017/18,Falkirk,0-17 years,Option 4 Only,0,0
2017/18,Falkirk,18-64 years,Option 4 Only,95,8
2017/18,Falkirk,65-74 years,Option 4 Only,40,6
2017/18,Falkirk,75-84 years,Option 4 Only,90,8
2017/18,Falkirk,85+ years,Option 4 Only,65,6
2017/18,Falkirk,Unknown,Option 4 Only,0,NA
2018/19,Falkirk,All Ages,Option 1 Only,35,1
2018/19,Falkirk,0-17 years,Option 1 Only,0,0
2018/19,Falkirk,18-64 years,Option 1 Only,15,1
2018/19,Falkirk,65-74 years,Option 1 Only,10,2
2018/19,Falkirk,75-84 years,Option 1 Only,5,0
2018/19,Falkirk,85+ years,Option 1 Only,5,0
2018/19,Falkirk,Unknown,Option 1 Only,0,NA
2018/19,Falkirk,All Ages,Option 2 Only,190,4
2018/19,Falkirk,0-17 years,Option 2 Only,0,0
2018/19,Falkirk,18-64 years,Option 2 Only,115,11
2018/19,Falkirk,65-74 years,Option 2 Only,25,4
2018/19,Falkirk,75-84 years,Option 2 Only,25,2
2018/19,Falkirk,85+ years,Option 2 Only,25,2
2018/19,Falkirk,Unknown,Option 2 Only,0,NA
2018/19,Falkirk,All Ages,Option 3 Only,3865,90
2018/19,Falkirk,0-17 years,Option 3 Only,20,100
2018/19,Falkirk,18-64 years,Option 3 Only,815,78
2018/19,Falkirk,65-74 years,Option 3 Only,610,92
2018/19,Falkirk,75-84 years,Option 3 Only,1275,94
2018/19,Falkirk,85+ years,Option 3 Only,1145,94
2018/19,Falkirk,Unknown,Option 3 Only,0,NA
2018/19,Falkirk,All Ages,Option 4 Only,200,5
2018/19,Falkirk,0-17 years,Option 4 Only,0,0
2018/19,Falkirk,18-64 years,Option 4 Only,95,9
2018/19,Falkirk,65-74 years,Option 4 Only,15,2
2018/19,Falkirk,75-84 years,Option 4 Only,45,3
2018/19,Falkirk,85+ years,Option 4 Only,45,4
2018/19,Falkirk,Unknown,Option 4 Only,0,NA
2019/20,Falkirk,All Ages,Option 1 Only,25,1
2019/20,Falkirk,0-17 years,Option 1 Only,0,0
2019/20,Falkirk,18-64 years,Option 1 Only,10,1
2019/20,Falkirk,65-74 years,Option 1 Only,10,1
2019/20,Falkirk,75-84 years,Option 1 Only,5,0
2019/20,Falkirk,85+ years,Option 1 Only,0,0
2019/20,Falkirk,Unknown,Option 1 Only,0,NA
2019/20,Falkirk,All Ages,Option 2 Only,100,2
2019/20,Falkirk,0-17 years,Option 2 Only,0,0
2019/20,Falkirk,18-64 years,Option 2 Only,70,6
2019/20,Falkirk,65-74 years,Option 2 Only,10,1
2019/20,Falkirk,75-84 years,Option 2 Only,10,1
2019/20,Falkirk,85+ years,Option 2 Only,10,1
2019/20,Falkirk,Unknown,Option 2 Only,0,NA
2019/20,Falkirk,All Ages,Option 3 Only,3990,89
2019/20,Falkirk,0-17 years,Option 3 Only,20,100
2019/20,Falkirk,18-64 years,Option 3 Only,860,79
2019/20,Falkirk,65-74 years,Option 3 Only,635,91
2019/20,Falkirk,75-84 years,Option 3 Only,1270,92
2019/20,Falkirk,85+ years,Option 3 Only,1205,93
2019/20,Falkirk,Unknown,Option 3 Only,0,NA
2019/20,Falkirk,All Ages,Option 4 Only,370,8
2019/20,Falkirk,0-17 years,Option 4 Only,0,0
2019/20,Falkirk,18-64 years,Option 4 Only,150,14
2019/20,Falkirk,65-74 years,Option 4 Only,40,6
2019/20,Falkirk,75-84 years,Option 4 Only,95,7
2019/20,Falkirk,85+ years,Option 4 Only,85,7
2019/20,Falkirk,Unknown,Option 4 Only,0,NA
2020/21,Falkirk,All Ages,Option 1 Only,30,1
2020/21,Falkirk,0-17 years,Option 1 Only,0,0
2020/21,Falkirk,18-64 years,Option 1 Only,15,1
2020/21,Falkirk,65-74 years,Option 1 Only,5,1
2020/21,Falkirk,75-84 years,Option 1 Only,0,0
2020/21,Falkirk,85+ years,Option 1 Only,5,0
2020/21,Falkirk,Unknown,Option 1 Only,0,NA
2020/21,Falkirk,All Ages,Option 2 Only,15,0
2020/21,Falkirk,0-17 years,Option 2 Only,0,0
2020/21,Falkirk,18-64 years,Option 2 Only,10,1
2020/21,Falkirk,65-74 years,Option 2 Only,5,1
2020/21,Falkirk,75-84 years,Option 2 Only,0,0
2020/21,Falkirk,85+ years,Option 2 Only,5,0
2020/21,Falkirk,Unknown,Option 2 Only,0,NA
2020/21,Falkirk,All Ages,Option 3 Only,4130,93
2020/21,Falkirk,0-17 years,Option 3 Only,15,100
2020/21,Falkirk,18-64 years,Option 3 Only,1030,87
2020/21,Falkirk,65-74 years,Option 3 Only,655,94
2020/21,Falkirk,75-84 years,Option 3 Only,1195,96
2020/21,Falkirk,85+ years,Option 3 Only,1235,94
2020/21,Falkirk,Unknown,Option 3 Only,0,NA
2020/21,Falkirk,All Ages,Option 4 Only,280,6
2020/21,Falkirk,0-17 years,Option 4 Only,0,0
2020/21,Falkirk,18-64 years,Option 4 Only,130,11
2020/21,Falkirk,65-74 years,Option 4 Only,30,4
2020/21,Falkirk,75-84 years,Option 4 Only,55,4
2020/21,Falkirk,85+ years,Option 4 Only,65,5
2020/21,Falkirk,Unknown,Option 4 Only,0,NA
2017/18,Fife,All Ages,Option 1 Only,460,10
2017/18,Fife,0-17 years,Option 1 Only,60,75
2017/18,Fife,18-64 years,Option 1 Only,200,16
2017/18,Fife,65-74 years,Option 1 Only,50,9
2017/18,Fife,75-84 years,Option 1 Only,65,5
2017/18,Fife,85+ years,Option 1 Only,85,6
2017/18,Fife,Unknown,Option 1 Only,0,NA
2017/18,Fife,All Ages,Option 2 Only,25,1
2017/18,Fife,0-17 years,Option 2 Only,0,0
2017/18,Fife,18-64 years,Option 2 Only,5,0
2017/18,Fife,65-74 years,Option 2 Only,5,1
2017/18,Fife,75-84 years,Option 2 Only,10,1
2017/18,Fife,85+ years,Option 2 Only,5,0
2017/18,Fife,Unknown,Option 2 Only,0,NA
2017/18,Fife,All Ages,Option 3 Only,3995,87
2017/18,Fife,0-17 years,Option 3 Only,15,19
2017/18,Fife,18-64 years,Option 3 Only,995,78
2017/18,Fife,65-74 years,Option 3 Only,520,89
2017/18,Fife,75-84 years,Option 3 Only,1140,93
2017/18,Fife,85+ years,Option 3 Only,1325,93
2017/18,Fife,Unknown,Option 3 Only,0,NA
2017/18,Fife,All Ages,Option 4 Only,115,3
2017/18,Fife,0-17 years,Option 4 Only,5,6
2017/18,Fife,18-64 years,Option 4 Only,70,6
2017/18,Fife,65-74 years,Option 4 Only,10,2
2017/18,Fife,75-84 years,Option 4 Only,15,1
2017/18,Fife,85+ years,Option 4 Only,15,1
2017/18,Fife,Unknown,Option 4 Only,0,NA
2018/19,Fife,All Ages,Option 1 Only,225,2
2018/19,Fife,0-17 years,Option 1 Only,45,47
2018/19,Fife,18-64 years,Option 1 Only,110,5
2018/19,Fife,65-74 years,Option 1 Only,20,2
2018/19,Fife,75-84 years,Option 1 Only,20,1
2018/19,Fife,85+ years,Option 1 Only,30,1
2018/19,Fife,Unknown,Option 1 Only,0,0
2018/19,Fife,All Ages,Option 2 Only,30,0
2018/19,Fife,0-17 years,Option 2 Only,5,5
2018/19,Fife,18-64 years,Option 2 Only,5,0
2018/19,Fife,65-74 years,Option 2 Only,0,0
2018/19,Fife,75-84 years,Option 2 Only,5,0
2018/19,Fife,85+ years,Option 2 Only,10,0
2018/19,Fife,Unknown,Option 2 Only,0,0
2018/19,Fife,All Ages,Option 3 Only,8790,93
2018/19,Fife,0-17 years,Option 3 Only,30,32
2018/19,Fife,18-64 years,Option 3 Only,1745,86
2018/19,Fife,65-74 years,Option 3 Only,1155,95
2018/19,Fife,75-84 years,Option 3 Only,2510,97
2018/19,Fife,85+ years,Option 3 Only,3345,97
2018/19,Fife,Unknown,Option 3 Only,10,100
2018/19,Fife,All Ages,Option 4 Only,370,4
2018/19,Fife,0-17 years,Option 4 Only,15,16
2018/19,Fife,18-64 years,Option 4 Only,170,8
2018/19,Fife,65-74 years,Option 4 Only,45,4
2018/19,Fife,75-84 years,Option 4 Only,65,2
2018/19,Fife,85+ years,Option 4 Only,75,2
2018/19,Fife,Unknown,Option 4 Only,0,0
2019/20,Fife,All Ages,Option 1 Only,345,4
2019/20,Fife,0-17 years,Option 1 Only,50,43
2019/20,Fife,18-64 years,Option 1 Only,180,9
2019/20,Fife,65-74 years,Option 1 Only,30,3
2019/20,Fife,75-84 years,Option 1 Only,35,1
2019/20,Fife,85+ years,Option 1 Only,55,2
2019/20,Fife,Unknown,Option 1 Only,0,NA
2019/20,Fife,All Ages,Option 2 Only,75,1
2019/20,Fife,0-17 years,Option 2 Only,10,9
2019/20,Fife,18-64 years,Option 2 Only,10,1
2019/20,Fife,65-74 years,Option 2 Only,5,0
2019/20,Fife,75-84 years,Option 2 Only,25,1
2019/20,Fife,85+ years,Option 2 Only,25,1
2019/20,Fife,Unknown,Option 2 Only,0,NA
2019/20,Fife,All Ages,Option 3 Only,8195,92
2019/20,Fife,0-17 years,Option 3 Only,40,35
2019/20,Fife,18-64 years,Option 3 Only,1615,84
2019/20,Fife,65-74 years,Option 3 Only,1080,94
2019/20,Fife,75-84 years,Option 3 Only,2335,95
2019/20,Fife,85+ years,Option 3 Only,3115,95
2019/20,Fife,Unknown,Option 3 Only,0,NA
2019/20,Fife,All Ages,Option 4 Only,310,3
2019/20,Fife,0-17 years,Option 4 Only,15,13
2019/20,Fife,18-64 years,Option 4 Only,125,6
2019/20,Fife,65-74 years,Option 4 Only,40,3
2019/20,Fife,75-84 years,Option 4 Only,55,2
2019/20,Fife,85+ years,Option 4 Only,75,2
2019/20,Fife,Unknown,Option 4 Only,0,NA
2020/21,Fife,All Ages,Option 1 Only,370,4
2020/21,Fife,0-17 years,Option 1 Only,50,62
2020/21,Fife,18-64 years,Option 1 Only,180,9
2020/21,Fife,65-74 years,Option 1 Only,35,3
2020/21,Fife,75-84 years,Option 1 Only,35,1
2020/21,Fife,85+ years,Option 1 Only,70,2
2020/21,Fife,Unknown,Option 1 Only,0,NA
2020/21,Fife,All Ages,Option 2 Only,90,1
2020/21,Fife,0-17 years,Option 2 Only,5,6
2020/21,Fife,18-64 years,Option 2 Only,10,1
2020/21,Fife,65-74 years,Option 2 Only,10,1
2020/21,Fife,75-84 years,Option 2 Only,30,1
2020/21,Fife,85+ years,Option 2 Only,30,1
2020/21,Fife,Unknown,Option 2 Only,0,NA
2020/21,Fife,All Ages,Option 3 Only,8685,92
2020/21,Fife,0-17 years,Option 3 Only,20,25
2020/21,Fife,18-64 years,Option 3 Only,1615,85
2020/21,Fife,65-74 years,Option 3 Only,1140,93
2020/21,Fife,75-84 years,Option 3 Only,2575,95
2020/21,Fife,85+ years,Option 3 Only,3335,95
2020/21,Fife,Unknown,Option 3 Only,0,NA
2020/21,Fife,All Ages,Option 4 Only,280,3
2020/21,Fife,0-17 years,Option 4 Only,5,6
2020/21,Fife,18-64 years,Option 4 Only,100,5
2020/21,Fife,65-74 years,Option 4 Only,45,4
2020/21,Fife,75-84 years,Option 4 Only,65,2
2020/21,Fife,85+ years,Option 4 Only,65,2
2020/21,Fife,Unknown,Option 4 Only,0,NA
2018/19,Glasgow City,All Ages,Option 1 Only,460,12
2018/19,Glasgow City,0-17 years,Option 1 Only,110,44
2018/19,Glasgow City,18-64 years,Option 1 Only,270,10
2018/19,Glasgow City,65-74 years,Option 1 Only,40,8
2018/19,Glasgow City,75-84 years,Option 1 Only,20,8
2018/19,Glasgow City,85+ years,Option 1 Only,20,13
2018/19,Glasgow City,Unknown,Option 1 Only,0,NA
2018/19,Glasgow City,All Ages,Option 2 Only,65,2
2018/19,Glasgow City,0-17 years,Option 2 Only,5,2
2018/19,Glasgow City,18-64 years,Option 2 Only,45,2
2018/19,Glasgow City,65-74 years,Option 2 Only,5,1
2018/19,Glasgow City,75-84 years,Option 2 Only,5,2
2018/19,Glasgow City,85+ years,Option 2 Only,5,3
2018/19,Glasgow City,Unknown,Option 2 Only,0,NA
2018/19,Glasgow City,All Ages,Option 3 Only,2610,68
2018/19,Glasgow City,0-17 years,Option 3 Only,95,38
2018/19,Glasgow City,18-64 years,Option 3 Only,1920,70
2018/19,Glasgow City,65-74 years,Option 3 Only,335,71
2018/19,Glasgow City,75-84 years,Option 3 Only,170,69
2018/19,Glasgow City,85+ years,Option 3 Only,90,60
2018/19,Glasgow City,Unknown,Option 3 Only,0,NA
2018/19,Glasgow City,All Ages,Option 4 Only,725,19
2018/19,Glasgow City,0-17 years,Option 4 Only,40,16
2018/19,Glasgow City,18-64 years,Option 4 Only,505,18
2018/19,Glasgow City,65-74 years,Option 4 Only,95,20
2018/19,Glasgow City,75-84 years,Option 4 Only,50,20
2018/19,Glasgow City,85+ years,Option 4 Only,35,23
2018/19,Glasgow City,Unknown,Option 4 Only,0,NA
2019/20,Glasgow City,All Ages,Option 1 Only,530,13
2019/20,Glasgow City,0-17 years,Option 1 Only,145,55
2019/20,Glasgow City,18-64 years,Option 1 Only,295,11
2019/20,Glasgow City,65-74 years,Option 1 Only,40,8
2019/20,Glasgow City,75-84 years,Option 1 Only,30,12
2019/20,Glasgow City,85+ years,Option 1 Only,25,15
2019/20,Glasgow City,Unknown,Option 1 Only,0,NA
2019/20,Glasgow City,All Ages,Option 2 Only,1420,36
2019/20,Glasgow City,0-17 years,Option 2 Only,30,11
2019/20,Glasgow City,18-64 years,Option 2 Only,1140,41
2019/20,Glasgow City,65-74 years,Option 2 Only,130,26
2019/20,Glasgow City,75-84 years,Option 2 Only,75,30
2019/20,Glasgow City,85+ years,Option 2 Only,40,24
2019/20,Glasgow City,Unknown,Option 2 Only,0,NA
2019/20,Glasgow City,All Ages,Option 3 Only,1510,38
2019/20,Glasgow City,0-17 years,Option 3 Only,70,26
2019/20,Glasgow City,18-64 years,Option 3 Only,930,33
2019/20,Glasgow City,65-74 years,Option 3 Only,300,61
2019/20,Glasgow City,75-84 years,Option 3 Only,120,48
2019/20,Glasgow City,85+ years,Option 3 Only,85,52
2019/20,Glasgow City,Unknown,Option 3 Only,0,NA
2019/20,Glasgow City,All Ages,Option 4 Only,505,13
2019/20,Glasgow City,0-17 years,Option 4 Only,20,8
2019/20,Glasgow City,18-64 years,Option 4 Only,420,15
2019/20,Glasgow City,65-74 years,Option 4 Only,25,5
2019/20,Glasgow City,75-84 years,Option 4 Only,25,10
2019/20,Glasgow City,85+ years,Option 4 Only,15,9
2019/20,Glasgow City,Unknown,Option 4 Only,0,NA
2020/21,Glasgow City,All Ages,Option 1 Only,580,14
2020/21,Glasgow City,0-17 years,Option 1 Only,160,56
2020/21,Glasgow City,18-64 years,Option 1 Only,310,11
2020/21,Glasgow City,65-74 years,Option 1 Only,45,8
2020/21,Glasgow City,75-84 years,Option 1 Only,35,11
2020/21,Glasgow City,85+ years,Option 1 Only,30,15
2020/21,Glasgow City,Unknown,Option 1 Only,0,NA
2020/21,Glasgow City,All Ages,Option 2 Only,1480,36
2020/21,Glasgow City,0-17 years,Option 2 Only,35,12
2020/21,Glasgow City,18-64 years,Option 2 Only,1185,43
2020/21,Glasgow City,65-74 years,Option 2 Only,155,28
2020/21,Glasgow City,75-84 years,Option 2 Only,75,23
2020/21,Glasgow City,85+ years,Option 2 Only,35,18
2020/21,Glasgow City,Unknown,Option 2 Only,0,NA
2020/21,Glasgow City,All Ages,Option 3 Only,1455,35
2020/21,Glasgow City,0-17 years,Option 3 Only,50,18
2020/21,Glasgow City,18-64 years,Option 3 Only,890,32
2020/21,Glasgow City,65-74 years,Option 3 Only,260,48
2020/21,Glasgow City,75-84 years,Option 3 Only,160,49
2020/21,Glasgow City,85+ years,Option 3 Only,100,51
2020/21,Glasgow City,Unknown,Option 3 Only,0,NA
2020/21,Glasgow City,All Ages,Option 4 Only,615,15
2020/21,Glasgow City,0-17 years,Option 4 Only,40,14
2020/21,Glasgow City,18-64 years,Option 4 Only,400,14
2020/21,Glasgow City,65-74 years,Option 4 Only,85,16
2020/21,Glasgow City,75-84 years,Option 4 Only,55,17
2020/21,Glasgow City,85+ years,Option 4 Only,30,15
2020/21,Glasgow City,Unknown,Option 4 Only,0,NA
2017/18,Highland,All Ages,Option 1 Only,645,8
2017/18,Highland,0-17 years,Option 1 Only,220,86
2017/18,Highland,18-64 years,Option 1 Only,260,14
2017/18,Highland,65-74 years,Option 1 Only,40,4
2017/18,Highland,75-84 years,Option 1 Only,40,2
2017/18,Highland,85+ years,Option 1 Only,90,3
2017/18,Highland,Unknown,Option 1 Only,0,NA
2017/18,Highland,All Ages,Option 2 Only,225,3
2017/18,Highland,0-17 years,Option 2 Only,0,0
2017/18,Highland,18-64 years,Option 2 Only,90,5
2017/18,Highland,65-74 years,Option 2 Only,30,3
2017/18,Highland,75-84 years,Option 2 Only,50,2
2017/18,Highland,85+ years,Option 2 Only,55,2
2017/18,Highland,Unknown,Option 2 Only,0,NA
2017/18,Highland,All Ages,Option 3 Only,7390,89
2017/18,Highland,0-17 years,Option 3 Only,35,14
2017/18,Highland,18-64 years,Option 3 Only,1450,80
2017/18,Highland,65-74 years,Option 3 Only,925,93
2017/18,Highland,75-84 years,Option 3 Only,2165,96
2017/18,Highland,85+ years,Option 3 Only,2815,95
2017/18,Highland,Unknown,Option 3 Only,0,NA
2017/18,Highland,All Ages,Option 4 Only,25,0
2017/18,Highland,0-17 years,Option 4 Only,0,0
2017/18,Highland,18-64 years,Option 4 Only,20,1
2017/18,Highland,65-74 years,Option 4 Only,0,0
2017/18,Highland,75-84 years,Option 4 Only,0,0
2017/18,Highland,85+ years,Option 4 Only,5,0
2017/18,Highland,Unknown,Option 4 Only,0,NA
2018/19,Highland,All Ages,Option 1 Only,420,5
2018/19,Highland,0-17 years,Option 1 Only,5,9
2018/19,Highland,18-64 years,Option 1 Only,255,17
2018/19,Highland,65-74 years,Option 1 Only,35,4
2018/19,Highland,75-84 years,Option 1 Only,50,2
2018/19,Highland,85+ years,Option 1 Only,75,2
2018/19,Highland,Unknown,Option 1 Only,0,NA
2018/19,Highland,All Ages,Option 2 Only,265,3
2018/19,Highland,0-17 years,Option 2 Only,0,0
2018/19,Highland,18-64 years,Option 2 Only,140,9
2018/19,Highland,65-74 years,Option 2 Only,25,3
2018/19,Highland,75-84 years,Option 2 Only,35,2
2018/19,Highland,85+ years,Option 2 Only,60,2
2018/19,Highland,Unknown,Option 2 Only,0,NA
2018/19,Highland,All Ages,Option 3 Only,7245,91
2018/19,Highland,0-17 years,Option 3 Only,50,91
2018/19,Highland,18-64 years,Option 3 Only,1120,73
2018/19,Highland,65-74 years,Option 3 Only,855,93
2018/19,Highland,75-84 years,Option 3 Only,2165,96
2018/19,Highland,85+ years,Option 3 Only,3055,96
2018/19,Highland,Unknown,Option 3 Only,0,NA
2018/19,Highland,All Ages,Option 4 Only,20,0
2018/19,Highland,0-17 years,Option 4 Only,0,0
2018/19,Highland,18-64 years,Option 4 Only,15,1
2018/19,Highland,65-74 years,Option 4 Only,0,0
2018/19,Highland,75-84 years,Option 4 Only,5,0
2018/19,Highland,85+ years,Option 4 Only,0,0
2018/19,Highland,Unknown,Option 4 Only,0,NA
2019/20,Highland,All Ages,Option 1 Only,410,5
2019/20,Highland,0-17 years,Option 1 Only,0,0
2019/20,Highland,18-64 years,Option 1 Only,255,16
2019/20,Highland,65-74 years,Option 1 Only,40,4
2019/20,Highland,75-84 years,Option 1 Only,50,2
2019/20,Highland,85+ years,Option 1 Only,70,2
2019/20,Highland,Unknown,Option 1 Only,0,NA
2019/20,Highland,All Ages,Option 2 Only,305,4
2019/20,Highland,0-17 years,Option 2 Only,0,0
2019/20,Highland,18-64 years,Option 2 Only,160,10
2019/20,Highland,65-74 years,Option 2 Only,25,3
2019/20,Highland,75-84 years,Option 2 Only,45,2
2019/20,Highland,85+ years,Option 2 Only,70,2
2019/20,Highland,Unknown,Option 2 Only,0,NA
2019/20,Highland,All Ages,Option 3 Only,7455,91
2019/20,Highland,0-17 years,Option 3 Only,55,100
2019/20,Highland,18-64 years,Option 3 Only,1125,72
2019/20,Highland,65-74 years,Option 3 Only,895,93
2019/20,Highland,75-84 years,Option 3 Only,2245,96
2019/20,Highland,85+ years,Option 3 Only,3135,96
2019/20,Highland,Unknown,Option 3 Only,0,NA
2019/20,Highland,All Ages,Option 4 Only,25,0
2019/20,Highland,0-17 years,Option 4 Only,0,0
2019/20,Highland,18-64 years,Option 4 Only,15,1
2019/20,Highland,65-74 years,Option 4 Only,5,1
2019/20,Highland,75-84 years,Option 4 Only,0,0
2019/20,Highland,85+ years,Option 4 Only,5,0
2019/20,Highland,Unknown,Option 4 Only,0,NA
2020/21,Highland,All Ages,Option 1 Only,425,5
2020/21,Highland,0-17 years,Option 1 Only,0,0
2020/21,Highland,18-64 years,Option 1 Only,245,17
2020/21,Highland,65-74 years,Option 1 Only,40,4
2020/21,Highland,75-84 years,Option 1 Only,65,3
2020/21,Highland,85+ years,Option 1 Only,75,2
2020/21,Highland,Unknown,Option 1 Only,0,NA
2020/21,Highland,All Ages,Option 2 Only,260,3
2020/21,Highland,0-17 years,Option 2 Only,0,0
2020/21,Highland,18-64 years,Option 2 Only,150,10
2020/21,Highland,65-74 years,Option 2 Only,25,2
