financial_year,sending_location,option_type,nclient,rate
2014/15,South Lanarkshire,Option 1,230,0.7
2014/15,South Lanarkshire,Option 2,0,0
2014/15,South Lanarkshire,Option 3,360,1.1
2014/15,South Lanarkshire,Option 4,10,0
2014/15,Stirling,Option 1,110,1.2
2014/15,Stirling,Option 2,5,0.1
2014/15,Stirling,Option 3,890,9.7
2014/15,Stirling,Option 4,20,0.2
2014/15,West Dunbartonshire,Option 1,90,1
2014/15,West Dunbartonshire,Option 2,0,0
2014/15,West Dunbartonshire,Option 3,0,0
2014/15,West Dunbartonshire,Option 4,0,0
2014/15,West Lothian,Option 1,150,0.8
2014/15,West Lothian,Option 2,95,0.5
2014/15,West Lothian,Option 3,530,3
2014/15,West Lothian,Option 4,55,0.3
2015/16,Scotland (Estimated),Option 1,7600,1.4
2015/16,Scotland (Estimated),Option 2,6440,1.2
2015/16,Scotland (Estimated),Option 3,42110,7.8
2015/16,Scotland (Estimated),Option 4,2710,0.5
2015/16,Aberdeen City,Option 1,350,1.5
2015/16,Aberdeen City,Option 2,5,0
2015/16,Aberdeen City,Option 3,0,0
2015/16,Aberdeen City,Option 4,0,0
2015/16,Aberdeenshire,Option 1,550,2.1
2015/16,Aberdeenshire,Option 2,25,0.1
2015/16,Aberdeenshire,Option 3,2795,10.7
2015/16,Aberdeenshire,Option 4,170,0.6
2015/16,Angus,Option 1,60,0.5
2015/16,Angus,Option 2,160,1.4
2015/16,Angus,Option 3,875,7.5
2015/16,Angus,Option 4,40,0.3
2015/16,Argyll and Bute,Option 1,140,1.6
2015/16,Argyll and Bute,Option 2,20,0.2
2015/16,Argyll and Bute,Option 3,1165,13.4
2015/16,Argyll and Bute,Option 4,25,0.3
2015/16,City of Edinburgh,Option 1,1380,2.8
2015/16,City of Edinburgh,Option 2,80,0.2
2015/16,City of Edinburgh,Option 3,2930,5.9
2015/16,City of Edinburgh,Option 4,215,0.4
2015/16,Clackmannanshire,Option 1,60,1.2
2015/16,Clackmannanshire,Option 2,5,0.1
2015/16,Clackmannanshire,Option 3,1485,28.9
2015/16,Clackmannanshire,Option 4,40,0.8
2015/16,Comhairle nan Eilean Siar,Option 1,80,3
2015/16,Comhairle nan Eilean Siar,Option 2,0,0
2015/16,Comhairle nan Eilean Siar,Option 3,185,6.8
2015/16,Comhairle nan Eilean Siar,Option 4,0,0
2015/16,Dumfries and Galloway,Option 1,330,2.2
2015/16,Dumfries and Galloway,Option 2,0,0
2015/16,Dumfries and Galloway,Option 3,3465,23.2
2015/16,Dumfries and Galloway,Option 4,55,0.4
2015/16,Dundee City,Option 1,60,0.4
2015/16,Dundee City,Option 2,20,0.1
2015/16,Dundee City,Option 3,4005,27
2015/16,Dundee City,Option 4,0,0
2015/16,East Ayrshire,Option 1,240,2
2015/16,East Ayrshire,Option 2,180,1.5
2015/16,East Ayrshire,Option 3,825,6.8
2015/16,East Ayrshire,Option 4,110,0.9
2015/16,East Dunbartonshire,Option 1,240,2.2
2015/16,East Dunbartonshire,Option 2,90,0.8
2015/16,East Dunbartonshire,Option 3,1280,12
2015/16,East Dunbartonshire,Option 4,45,0.4
2015/16,East Lothian,Option 1,140,1.4
2015/16,East Lothian,Option 2,65,0.6
2015/16,East Lothian,Option 3,270,2.6
2015/16,East Lothian,Option 4,40,0.4
2015/16,East Renfrewshire,Option 1,110,1.2
2015/16,East Renfrewshire,Option 2,105,1.1
2015/16,East Renfrewshire,Option 3,240,2.6
2015/16,East Renfrewshire,Option 4,15,0.2
2015/16,Falkirk,Option 1,60,0.4
2015/16,Falkirk,Option 2,95,0.6
2015/16,Falkirk,Option 3,2360,14.9
2015/16,Falkirk,Option 4,65,0.4
2015/16,Fife,Option 1,400,1.1
2015/16,Fife,Option 2,5,0
2015/16,Fife,Option 3,535,1.5
2015/16,Fife,Option 4,20,0.1
2015/16,Glasgow City,Option 1,530,0.9
2015/16,Glasgow City,Option 2,2730,4.5
2015/16,Glasgow City,Option 3,140,0.2
2015/16,Glasgow City,Option 4,240,0.4
2015/16,Highland,Option 1,600,2.6
2015/16,Highland,Option 2,140,0.6
2015/16,Highland,Option 3,1395,6
2015/16,Highland,Option 4,85,0.4
2015/16,Inverclyde,Option 1,80,1
2015/16,Inverclyde,Option 2,275,3.5
2015/16,Inverclyde,Option 3,1980,24.9
