financial_year,sending_location,measure,nclient,rate,scotland_nclient,scotland_rate
2019/20,North Ayrshire,"Rate per 1,000 Population",7210,53.5,237840,43.53412772500137
2019/20,North Ayrshire,"Rate per 1,000 Population (adjusted)",7210,53.5,216500,39.62806362454926
2019/20,North Lanarkshire,"Rate per 1,000 Population",15255,44.7,237840,43.53412772500137
2019/20,North Lanarkshire,"Rate per 1,000 Population (adjusted)",15255,44.7,216500,39.62806362454926
2019/20,Orkney Islands,"Rate per 1,000 Population",1065,47.8,237840,43.53412772500137
2019/20,Orkney Islands,"Rate per 1,000 Population (adjusted)",1000,44.9,216500,39.62806362454926
2019/20,Perth and Kinross,"Rate per 1,000 Population",7395,48.7,237840,43.53412772500137
2019/20,Perth and Kinross,"Rate per 1,000 Population (adjusted)",5660,37.2,216500,39.62806362454926
2019/20,Renfrewshire,"Rate per 1,000 Population",7710,43,237840,43.53412772500137
2019/20,Renfrewshire,"Rate per 1,000 Population (adjusted)",6395,35.7,216500,39.62806362454926
2019/20,Scottish Borders,"Rate per 1,000 Population",4395,38,237840,43.53412772500137
2019/20,Scottish Borders,"Rate per 1,000 Population (adjusted)",3840,33.2,216500,39.62806362454926
2019/20,Shetland,"Rate per 1,000 Population",1440,62.8,237840,43.53412772500137
2019/20,Shetland,"Rate per 1,000 Population (adjusted)",1255,54.8,216500,39.62806362454926
2019/20,South Ayrshire,"Rate per 1,000 Population",3380,30,237840,43.53412772500137
2019/20,South Ayrshire,"Rate per 1,000 Population (adjusted)",2260,20.1,216500,39.62806362454926
2019/20,South Lanarkshire,"Rate per 1,000 Population",10250,32,237840,43.53412772500137
2019/20,South Lanarkshire,"Rate per 1,000 Population (adjusted)",10235,31.9,216500,39.62806362454926
2019/20,Stirling,"Rate per 1,000 Population",3815,40.5,237840,43.53412772500137
2019/20,Stirling,"Rate per 1,000 Population (adjusted)",3695,39.2,216500,39.62806362454926
2019/20,West Dunbartonshire,"Rate per 1,000 Population",4265,48,237840,43.53412772500137
2019/20,West Dunbartonshire,"Rate per 1,000 Population (adjusted)",3400,38.2,216500,39.62806362454926
2019/20,West Lothian,"Rate per 1,000 Population",7365,40.2,237840,43.53412772500137
2019/20,West Lothian,"Rate per 1,000 Population (adjusted)",5965,32.6,216500,39.62806362454926
2020/21,Scotland (Estimated),"Rate per 1,000 Population",231925,42.4,231925,42.43047932674716
2020/21,Scotland (Estimated),"Rate per 1,000 Population (adjusted)",213790,39.1,213790,39.112696670325654
2020/21,Aberdeen City,"Rate per 1,000 Population",10425,45.5,231925,42.43047932674716
2020/21,Aberdeen City,"Rate per 1,000 Population (adjusted)",8875,38.7,213790,39.112696670325654
2020/21,Aberdeenshire,"Rate per 1,000 Population",9430,36.2,231925,42.43047932674716
